Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Tconv_KO_1	(1, 68.5231)	(2, 42.9038)	(3, 44.6917)	(4, 47.7005)	(5, 33.1072)	(6, 46.6031)	(7, 47.4267)	(8, 51.1718)	(9, 67.6043)	(10, 44.4822)	(11, 55.243900000000004)	(12, 49.236200000000004)	(13, 54.2952)	(14, 54.424099999999996)	(15, 50.2834)	(16, 50.763999999999996)	(17, 49.2425)	(18, 48.3354)	(19, 49.2568)	(20, 51.8003)	(21, 51.6183)	(22, 51.2367)	(23, 50.2594)	(24, 49.0719)	(25, 50.0466)	(26, 48.906)	(27, 50.4536)	(28, 49.3345)	(29, 49.5483)	(30, 48.9005)	(31, 51.39320000000001)	(32, 51.107)	(33, 50.319199999999995)	(34, 49.6791)	(35, 50.5154)	(36, 50.6759)	(37, 50.044900000000005)	(38, 50.0308)	(39, 51.6144)	(40, 50.03379999999999)	(41, 49.5167)	(42, 50.1091)	(43, 50.734100000000005)	(44, 51.1896)	(45, 50.2432)	(46, 50.48859999999999)	(47, 50.3996)	(48, 51.7072)	(49, 51.2653)	(50, 51.162600000000005)	(51, 50.322100000000006)
Tconv_KO_2	(1, 68.8949)	(2, 43.1932)	(3, 45.1474)	(4, 47.1962)	(5, 32.4536)	(6, 46.5615)	(7, 47.5735)	(8, 50.5481)	(9, 67.335)	(10, 43.385200000000005)	(11, 54.876000000000005)	(12, 48.9413)	(13, 53.927099999999996)	(14, 54.5728)	(15, 50.55650000000001)	(16, 50.78470000000001)	(17, 49.433)	(18, 48.564299999999996)	(19, 49.6442)	(20, 51.7641)	(21, 51.661100000000005)	(22, 51.457699999999996)	(23, 50.7699)	(24, 49.7417)	(25, 50.4554)	(26, 49.6781)	(27, 50.797000000000004)	(28, 50.1201)	(29, 50.356500000000004)	(30, 49.8365)	(31, 51.7088)	(32, 51.5196)	(33, 50.9158)	(34, 50.432)	(35, 51.098600000000005)	(36, 51.3363)	(37, 50.9161)	(38, 50.787499999999994)	(39, 51.97110000000001)	(40, 50.768899999999995)	(41, 50.366699999999994)	(42, 50.8107)	(43, 51.36110000000001)	(44, 51.5269)	(45, 50.9453)	(46, 50.9563)	(47, 50.897499999999994)	(48, 51.8702)	(49, 51.516)	(50, 51.5486)	(51, 50.893699999999995)
Tconv_KO_3	(1, 68.9263)	(2, 43.2821)	(3, 45.5103)	(4, 47.6006)	(5, 32.3483)	(6, 46.878)	(7, 47.9846)	(8, 50.693999999999996)	(9, 67.769)	(10, 42.9678)	(11, 55.153)	(12, 49.145)	(13, 54.1763)	(14, 54.944700000000005)	(15, 50.815999999999995)	(16, 51.0578)	(17, 49.6719)	(18, 48.8262)	(19, 49.91)	(20, 51.837500000000006)	(21, 51.833600000000004)	(22, 51.6452)	(23, 51.132200000000005)	(24, 50.1231)	(25, 50.709199999999996)	(26, 50.0419)	(27, 51.0134)	(28, 50.538700000000006)	(29, 50.698)	(30, 50.333600000000004)	(31, 51.8768)	(32, 51.742)	(33, 51.2273)	(34, 50.7343)	(35, 51.3117)	(36, 51.546899999999994)	(37, 51.1634)	(38, 51.07040000000001)	(39, 52.02250000000001)	(40, 51.066599999999994)	(41, 50.7089)	(42, 51.1027)	(43, 51.5308)	(44, 51.7051)	(45, 51.1332)	(46, 51.2892)	(47, 51.178000000000004)	(48, 51.990899999999996)	(49, 51.6995)	(50, 51.6991)	(51, 51.139599999999994)
Tconv_WT_1	(1, 69.1342)	(2, 42.9678)	(3, 45.4451)	(4, 47.9207)	(5, 32.691700000000004)	(6, 46.7966)	(7, 47.714600000000004)	(8, 50.50599999999999)	(9, 67.3867)	(10, 43.745)	(11, 55.3906)	(12, 49.167699999999996)	(13, 54.32789999999999)	(14, 54.700700000000005)	(15, 50.6696)	(16, 51.0266)	(17, 49.4359)	(18, 48.745)	(19, 49.6937)	(20, 51.9041)	(21, 51.800599999999996)	(22, 51.4664)	(23, 50.68470000000001)	(24, 49.7237)	(25, 50.5534)	(26, 49.5039)	(27, 50.8858)	(28, 49.919599999999996)	(29, 50.0826)	(30, 49.4706)	(31, 51.7436)	(32, 51.444900000000004)	(33, 50.778)	(34, 50.2277)	(35, 50.9672)	(36, 51.1594)	(37, 50.596)	(38, 50.5499)	(39, 51.9334)	(40, 50.5856)	(41, 50.071)	(42, 50.632)	(43, 51.2243)	(44, 51.528600000000004)	(45, 50.7372)	(46, 50.870000000000005)	(47, 50.7478)	(48, 51.9554)	(49, 51.5321)	(50, 51.538700000000006)	(51, 50.735200000000006)
Tconv_WT_2	(1, 68.9723)	(2, 43.1031)	(3, 45.3513)	(4, 47.8461)	(5, 32.839200000000005)	(6, 46.7806)	(7, 47.8043)	(8, 50.8885)	(9, 67.6254)	(10, 43.8178)	(11, 55.2995)	(12, 49.1857)	(13, 54.284299999999995)	(14, 54.7015)	(15, 50.570499999999996)	(16, 50.8702)	(17, 49.5234)	(18, 48.6318)	(19, 49.5311)	(20, 51.8767)	(21, 51.700599999999994)	(22, 51.475)	(23, 50.571200000000005)	(24, 49.628699999999995)	(25, 50.4468)	(26, 49.4814)	(27, 50.6955)	(28, 49.8358)	(29, 50.0085)	(30, 49.413000000000004)	(31, 51.5456)	(32, 51.2336)	(33, 50.5962)	(34, 50.1533)	(35, 50.8037)	(36, 50.982099999999996)	(37, 50.5811)	(38, 50.5163)	(39, 51.74720000000001)	(40, 50.46810000000001)	(41, 49.9836)	(42, 50.5479)	(43, 51.123200000000004)	(44, 51.3535)	(45, 50.6957)	(46, 50.8133)	(47, 50.706700000000005)	(48, 51.8267)	(49, 51.42400000000001)	(50, 51.5163)	(51, 50.7546)
Tconv_WT_3	(1, 68.7196)	(2, 43.0299)	(3, 44.958)	(4, 46.9191)	(5, 32.0119)	(6, 46.2786)	(7, 47.3682)	(8, 50.402499999999996)	(9, 67.2902)	(10, 42.7787)	(11, 54.6589)	(12, 48.6997)	(13, 53.7037)	(14, 54.347100000000005)	(15, 50.342299999999994)	(16, 50.599700000000006)	(17, 49.147200000000005)	(18, 48.371199999999995)	(19, 49.3865)	(20, 51.311099999999996)	(21, 51.320100000000004)	(22, 51.1277)	(23, 50.50320000000001)	(24, 49.5028)	(25, 50.1604)	(26, 49.4879)	(27, 50.51330000000001)	(28, 49.9533)	(29, 50.1008)	(30, 49.6364)	(31, 51.4127)	(32, 51.193200000000004)	(33, 50.665400000000005)	(34, 50.192899999999995)	(35, 50.847699999999996)	(36, 51.1011)	(37, 50.6835)	(38, 50.538000000000004)	(39, 51.634299999999996)	(40, 50.515100000000004)	(41, 50.1327)	(42, 50.5436)	(43, 51.0841)	(44, 51.2431)	(45, 50.629000000000005)	(46, 50.718799999999995)	(47, 50.6065)	(48, 51.502700000000004)	(49, 51.2016)	(50, 51.2876)	(51, 50.62029999999999)
Treg_KO_1	(1, 69.7372)	(2, 43.5616)	(3, 46.1955)	(4, 47.963899999999995)	(5, 32.5081)	(6, 47.252100000000006)	(7, 48.1781)	(8, 50.238099999999996)	(9, 67.427)	(10, 42.9372)	(11, 55.5367)	(12, 49.254599999999996)	(13, 54.585499999999996)	(14, 55.0434)	(15, 51.164100000000005)	(16, 51.3809)	(17, 49.7797)	(18, 49.2387)	(19, 50.3092)	(20, 52.1846)	(21, 52.0789)	(22, 51.9327)	(23, 51.318200000000004)	(24, 50.37049999999999)	(25, 51.00900000000001)	(26, 50.370599999999996)	(27, 51.2872)	(28, 50.76349999999999)	(29, 50.9278)	(30, 50.3914)	(31, 52.134100000000004)	(32, 51.98500000000001)	(33, 51.4353)	(34, 51.0304)	(35, 51.549800000000005)	(36, 51.6562)	(37, 51.3231)	(38, 51.1819)	(39, 52.3344)	(40, 51.265499999999996)	(41, 50.8578)	(42, 51.294799999999995)	(43, 51.762)	(44, 51.924099999999996)	(45, 51.2907)	(46, 51.3402)	(47, 51.21790000000001)	(48, 52.115)	(49, 51.7671)	(50, 51.7915)	(51, 51.2233)
Treg_KO_2	(1, 69.2726)	(2, 43.6173)	(3, 45.746700000000004)	(4, 47.5079)	(5, 32.5937)	(6, 47.0754)	(7, 48.025800000000004)	(8, 50.5807)	(9, 67.4631)	(10, 43.3464)	(11, 55.3431)	(12, 49.349199999999996)	(13, 54.4011)	(14, 55.0151)	(15, 51.2937)	(16, 51.286100000000005)	(17, 49.8368)	(18, 49.2886)	(19, 50.334)	(20, 52.2902)	(21, 52.2307)	(22, 52.003299999999996)	(23, 51.3686)	(24, 50.3948)	(25, 51.0458)	(26, 50.4143)	(27, 51.4221)	(28, 50.871900000000004)	(29, 51.0667)	(30, 50.5668)	(31, 52.3211)	(32, 52.170300000000005)	(33, 51.571)	(34, 51.1536)	(35, 51.721)	(36, 51.9374)	(37, 51.483900000000006)	(38, 51.40670000000001)	(39, 52.5134)	(40, 51.436400000000006)	(41, 51.0232)	(42, 51.4691)	(43, 51.9192)	(44, 52.1008)	(45, 51.42139999999999)	(46, 51.4295)	(47, 51.3772)	(48, 52.278800000000004)	(49, 51.857)	(50, 51.949999999999996)	(51, 51.3319)
Treg_KO_3	(1, 69.0707)	(2, 43.4067)	(3, 45.6057)	(4, 47.4653)	(5, 32.2396)	(6, 46.853899999999996)	(7, 47.9107)	(8, 50.4161)	(9, 67.51859999999999)	(10, 42.7506)	(11, 55.1655)	(12, 49.1209)	(13, 54.241099999999996)	(14, 54.849199999999996)	(15, 50.9356)	(16, 51.095)	(17, 49.619099999999996)	(18, 48.9242)	(19, 50.0482)	(20, 51.937599999999996)	(21, 51.8359)	(22, 51.68129999999999)	(23, 51.037)	(24, 50.1331)	(25, 50.775800000000004)	(26, 50.173199999999994)	(27, 51.0942)	(28, 50.5601)	(29, 50.7393)	(30, 50.3077)	(31, 51.859)	(32, 51.7498)	(33, 51.23760000000001)	(34, 50.7892)	(35, 51.330600000000004)	(36, 51.532199999999996)	(37, 51.17040000000001)	(38, 51.0841)	(39, 52.09930000000001)	(40, 51.0533)	(41, 50.6872)	(42, 51.10249999999999)	(43, 51.561)	(44, 51.752900000000004)	(45, 51.1204)	(46, 51.1484)	(47, 51.1265)	(48, 51.9224)	(49, 51.585499999999996)	(50, 51.6649)	(51, 51.0587)
Treg_WT_1	(1, 69.2709)	(2, 43.169999999999995)	(3, 45.9484)	(4, 48.0888)	(5, 32.636199999999995)	(6, 47.185700000000004)	(7, 47.962199999999996)	(8, 50.2695)	(9, 67.47720000000001)	(10, 43.087399999999995)	(11, 55.387)	(12, 49.105199999999996)	(13, 54.3676)	(14, 54.8775)	(15, 50.7315)	(16, 50.993500000000004)	(17, 49.6036)	(18, 48.8068)	(19, 49.716)	(20, 51.7455)	(21, 51.7123)	(22, 51.444500000000005)	(23, 50.7016)	(24, 49.8819)	(25, 50.552699999999994)	(26, 49.7072)	(27, 50.8571)	(28, 50.153999999999996)	(29, 50.324999999999996)	(30, 49.89)	(31, 51.603100000000005)	(32, 51.3882)	(33, 50.855399999999996)	(34, 50.409800000000004)	(35, 50.96469999999999)	(36, 51.14490000000001)	(37, 50.7877)	(38, 50.686)	(39, 51.7598)	(40, 50.7214)	(41, 50.3591)	(42, 50.7685)	(43, 51.2464)	(44, 51.4173)	(45, 50.8597)	(46, 51.01369999999999)	(47, 50.868100000000005)	(48, 51.8439)	(49, 51.4594)	(50, 51.479200000000006)	(51, 50.8272)
