Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Tconv_KO_1	(1, 68.5162)	(2, 42.8943)	(3, 44.6803)	(4, 47.7039)	(5, 33.0974)	(6, 46.591100000000004)	(7, 47.4196)	(8, 51.164)	(9, 67.58840000000001)	(10, 44.4702)	(11, 55.2312)	(12, 49.220000000000006)	(13, 54.2836)	(14, 54.4065)	(15, 50.266999999999996)	(16, 50.7546)	(17, 49.2277)	(18, 48.3194)	(19, 49.2415)	(20, 51.784)	(21, 51.6027)	(22, 51.2205)	(23, 50.2445)	(24, 49.0573)	(25, 50.0326)	(26, 48.8923)	(27, 50.441100000000006)	(28, 49.3296)	(29, 49.5455)	(30, 48.9112)	(31, 51.42640000000001)	(32, 51.109300000000005)	(33, 50.3511)	(34, 49.689899999999994)	(35, 50.5462)	(36, 50.6695)	(37, 50.0737)	(38, 50.009899999999995)	(39, 51.507099999999994)	(40, 49.9124)	(41, 49.3545)	(42, 49.899100000000004)	(43, 50.5423)	(44, 50.930200000000006)	(45, 49.9467)	(46, 50.09780000000001)	(47, 49.8947)	(48, 50.9771)	(49, 50.682300000000005)	(50, 50.477399999999996)	(51, 49.9112)
Tconv_KO_2	(1, 68.8938)	(2, 43.1886)	(3, 45.1417)	(4, 47.1986)	(5, 32.4488)	(6, 46.5555)	(7, 47.568)	(8, 50.542500000000004)	(9, 67.3255)	(10, 43.378699999999995)	(11, 54.86919999999999)	(12, 48.932900000000004)	(13, 53.9208)	(14, 54.563399999999994)	(15, 50.547)	(16, 50.77890000000001)	(17, 49.4249)	(18, 48.5561)	(19, 49.6358)	(20, 51.7559)	(21, 51.653400000000005)	(22, 51.4494)	(23, 50.7622)	(24, 49.7341)	(25, 50.447900000000004)	(26, 49.6712)	(27, 50.79050000000001)	(28, 50.1173)	(29, 50.35380000000001)	(30, 49.8401)	(31, 51.72560000000001)	(32, 51.52250000000001)	(33, 50.93220000000001)	(34, 50.4363)	(35, 51.112100000000005)	(36, 51.335699999999996)	(37, 50.9286)	(38, 50.781)	(39, 51.9193)	(40, 50.7113)	(41, 50.2807)	(42, 50.7057)	(43, 51.2581)	(44, 51.4)	(45, 50.7722)	(46, 50.75920000000001)	(47, 50.63530000000001)	(48, 51.444199999999995)	(49, 51.2004)	(50, 51.1216)	(51, 50.6447)
Tconv_KO_3	(1, 68.9252)	(2, 43.2791)	(3, 45.5067)	(4, 47.6016)	(5, 32.3459)	(6, 46.8744)	(7, 47.9811)	(8, 50.6908)	(9, 67.7635)	(10, 42.9641)	(11, 55.1491)	(12, 49.1402)	(13, 54.172399999999996)	(14, 54.93900000000001)	(15, 50.8103)	(16, 51.0537)	(17, 49.6671)	(18, 48.821)	(19, 49.9054)	(20, 51.832699999999996)	(21, 51.8292)	(22, 51.6409)	(23, 51.127599999999994)	(24, 50.1191)	(25, 50.7052)	(26, 50.0379)	(27, 51.0093)	(28, 50.53680000000001)	(29, 50.696799999999996)	(30, 50.3366)	(31, 51.888999999999996)	(32, 51.74379999999999)	(33, 51.2382)	(34, 50.73760000000001)	(35, 51.3215)	(36, 51.547200000000004)	(37, 51.1755)	(38, 51.067099999999996)	(39, 51.9948)	(40, 51.02680000000001)	(41, 50.655899999999995)	(42, 51.032)	(43, 51.4703)	(44, 51.6227)	(45, 51.012)	(46, 51.156800000000004)	(47, 51.002700000000004)	(48, 51.678900000000006)	(49, 51.489)	(50, 51.383100000000006)	(51, 50.964600000000004)
Tconv_WT_1	(1, 69.1303)	(2, 42.9595)	(3, 45.4369)	(4, 47.923500000000004)	(5, 32.6843)	(6, 46.7874)	(7, 47.7078)	(8, 50.4988)	(9, 67.374)	(10, 43.735800000000005)	(11, 55.380300000000005)	(12, 49.1547)	(13, 54.318)	(14, 54.687)	(15, 50.656400000000005)	(16, 51.017999999999994)	(17, 49.4243)	(18, 48.7323)	(19, 49.681999999999995)	(20, 51.892)	(21, 51.7887)	(22, 51.453700000000005)	(23, 50.673)	(24, 49.7122)	(25, 50.54260000000001)	(26, 49.4934)	(27, 50.8756)	(28, 49.9155)	(29, 50.078199999999995)	(30, 49.478899999999996)	(31, 51.7667)	(32, 51.4501)	(33, 50.7987)	(34, 50.236999999999995)	(35, 50.9845)	(36, 51.157799999999995)	(37, 50.6135)	(38, 50.53959999999999)	(39, 51.854299999999995)	(40, 50.4952)	(41, 49.940400000000004)	(42, 50.471)	(43, 51.06810000000001)	(44, 51.3272)	(45, 50.4952)	(46, 50.5568)	(47, 50.343700000000005)	(48, 51.333600000000004)	(49, 51.0543)	(50, 50.936899999999994)	(51, 50.383100000000006)
Tconv_WT_2	(1, 68.9677)	(2, 43.095299999999995)	(3, 45.3429)	(4, 47.8489)	(5, 32.832)	(6, 46.7717)	(7, 47.7978)	(8, 50.8818)	(9, 67.6121)	(10, 43.8085)	(11, 55.28920000000001)	(12, 49.172900000000006)	(13, 54.2745)	(14, 54.687799999999996)	(15, 50.5578)	(16, 50.862300000000005)	(17, 49.5117)	(18, 48.6195)	(19, 49.519400000000005)	(20, 51.8643)	(21, 51.688900000000004)	(22, 51.4627)	(23, 50.559799999999996)	(24, 49.6175)	(25, 50.4358)	(26, 49.4711)	(27, 50.685500000000005)	(28, 49.8327)	(29, 50.0043)	(30, 49.4217)	(31, 51.57190000000001)	(32, 51.2382)	(33, 50.6215)	(34, 50.161500000000004)	(35, 50.8266)	(36, 50.9789)	(37, 50.6013)	(38, 50.502199999999995)	(39, 51.6678)	(40, 50.3713)	(41, 49.8473)	(42, 50.375099999999996)	(43, 50.95570000000001)	(44, 51.1397)	(45, 50.4367)	(46, 50.4842)	(47, 50.276399999999995)	(48, 51.1792)	(49, 50.916)	(50, 50.8827)	(51, 50.373000000000005)
Tconv_WT_3	(1, 68.7184)	(2, 43.0255)	(3, 44.953700000000005)	(4, 46.9205)	(5, 32.0079)	(6, 46.2739)	(7, 47.3632)	(8, 50.3977)	(9, 67.2817)	(10, 42.7731)	(11, 54.6534)	(12, 48.6931)	(13, 53.69819999999999)	(14, 54.3396)	(15, 50.3347)	(16, 50.594300000000004)	(17, 49.1408)	(18, 48.3638)	(19, 49.3799)	(20, 51.304399999999994)	(21, 51.3134)	(22, 51.1208)	(23, 50.496700000000004)	(24, 49.4969)	(25, 50.154399999999995)	(26, 49.482)	(27, 50.5076)	(28, 49.9501)	(29, 50.0981)	(30, 49.6382)	(31, 51.4207)	(32, 51.196299999999994)	(33, 50.673100000000005)	(34, 50.1977)	(35, 50.8544)	(36, 51.10209999999999)	(37, 50.69050000000001)	(38, 50.536)	(39, 51.607499999999995)	(40, 50.48479999999999)	(41, 50.086)	(42, 50.4888)	(43, 51.0265)	(44, 51.184)	(45, 50.5222)	(46, 50.6251)	(47, 50.4733)	(48, 51.246199999999995)	(49, 51.0346)	(50, 51.024499999999996)	(51, 50.4799)
Treg_KO_1	(1, 69.7373)	(2, 43.558099999999996)	(3, 46.191500000000005)	(4, 47.9655)	(5, 32.5055)	(6, 47.2478)	(7, 48.173100000000005)	(8, 50.234100000000005)	(9, 67.4202)	(10, 42.9333)	(11, 55.5311)	(12, 49.2487)	(13, 54.5804)	(14, 55.037400000000005)	(15, 51.1582)	(16, 51.376200000000004)	(17, 49.7749)	(18, 49.2329)	(19, 50.3039)	(20, 52.1793)	(21, 52.074200000000005)	(22, 51.927299999999995)	(23, 51.3133)	(24, 50.366)	(25, 51.0043)	(26, 50.366299999999995)	(27, 51.2829)	(28, 50.7627)	(29, 50.9276)	(30, 50.3969)	(31, 52.15220000000001)	(32, 51.988299999999995)	(33, 51.452200000000005)	(34, 51.0335)	(35, 51.5644)	(36, 51.655499999999996)	(37, 51.339400000000005)	(38, 51.1754)	(39, 52.2869)	(40, 51.204499999999996)	(41, 50.7705)	(42, 51.188100000000006)	(43, 51.6598)	(44, 51.795100000000005)	(45, 51.1127)	(46, 51.1292)	(47, 50.9439)	(48, 51.663599999999995)	(49, 51.4434)	(50, 51.345600000000005)	(51, 50.960499999999996)
Treg_KO_2	(1, 69.2718)	(2, 43.613800000000005)	(3, 45.7433)	(4, 47.5089)	(5, 32.591)	(6, 47.071400000000004)	(7, 48.0217)	(8, 50.577099999999994)	(9, 67.4567)	(10, 43.3424)	(11, 55.3385)	(12, 49.343900000000005)	(13, 54.396699999999996)	(14, 55.009699999999995)	(15, 51.287499999999994)	(16, 51.2814)	(17, 49.831900000000005)	(18, 49.282900000000005)	(19, 50.329299999999996)	(20, 52.2849)	(21, 52.22599999999999)	(22, 51.9981)	(23, 51.363800000000005)	(24, 50.3904)	(25, 51.0409)	(26, 50.40989999999999)	(27, 51.4178)	(28, 50.8698)	(29, 51.064699999999995)	(30, 50.5688)	(31, 52.329)	(32, 52.1734)	(33, 51.5774)	(34, 51.1567)	(35, 51.7258)	(36, 51.9377)	(37, 51.4884)	(38, 51.4039)	(39, 52.48500000000001)	(40, 51.4045)	(41, 50.97390000000001)	(42, 51.4117)	(43, 51.86110000000001)	(44, 52.0359)	(45, 51.3143)	(46, 51.3273)	(47, 51.2409)	(48, 52.0158)	(49, 51.690400000000004)	(50, 51.6835)	(51, 51.1888)
Treg_KO_3	(1, 69.0696)	(2, 43.4032)	(3, 45.6015)	(4, 47.467)	(5, 32.2361)	(6, 46.8495)	(7, 47.9072)	(8, 50.412800000000004)	(9, 67.5124)	(10, 42.7466)	(11, 55.161300000000004)	(12, 49.1154)	(13, 54.2373)	(14, 54.84290000000001)	(15, 50.9294)	(16, 51.0909)	(17, 49.6139)	(18, 48.9184)	(19, 50.0433)	(20, 51.932100000000005)	(21, 51.8312)	(22, 51.6763)	(23, 51.031800000000004)	(24, 50.12839999999999)	(25, 50.771)	(26, 50.16890000000001)	(27, 51.0894)	(28, 50.558)	(29, 50.7369)	(30, 50.310100000000006)	(31, 51.86880000000001)	(32, 51.7526)	(33, 51.246199999999995)	(34, 50.7931)	(35, 51.338499999999996)	(36, 51.5337)	(37, 51.1795)	(38, 51.0836)	(39, 52.0711)	(40, 51.019400000000005)	(41, 50.635200000000005)	(42, 51.040600000000005)	(43, 51.497899999999994)	(44, 51.6836)	(45, 51.002)	(46, 51.0352)	(47, 50.9669)	(48, 51.6304)	(49, 51.39)	(50, 51.3665)	(51, 50.8934)
Treg_WT_1	(1, 69.2677)	(2, 43.1646)	(3, 45.9423)	(4, 48.0907)	(5, 32.6313)	(6, 47.1796)	(7, 47.957699999999996)	(8, 50.2652)	(9, 67.4686)	(10, 43.081599999999995)	(11, 55.380399999999995)	(12, 49.0966)	(13, 54.3613)	(14, 54.8685)	(15, 50.72259999999999)	(16, 50.988299999999995)	(17, 49.595800000000004)	(18, 48.798)	(19, 49.7077)	(20, 51.737100000000005)	(21, 51.7042)	(22, 51.436099999999996)	(23, 50.6935)	(24, 49.8743)	(25, 50.544900000000005)	(26, 49.7002)	(27, 50.850300000000004)	(28, 50.1522)	(29, 50.32299999999999)	(30, 49.8963)	(31, 51.6284)	(32, 51.3921)	(33, 50.87779999999999)	(34, 50.4159)	(35, 50.9846)	(36, 51.1455)	(37, 50.8078)	(38, 50.682300000000005)	(39, 51.693900000000006)	(40, 50.641099999999994)	(41, 50.242799999999995)	(42, 50.6254)	(43, 51.111399999999996)	(44, 51.241899999999994)	(45, 50.631)	(46, 50.727599999999995)	(47, 50.489)	(48, 51.2695)	(49, 51.0177)	(50, 50.91909999999999)	(51, 50.4833)
