Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Tconv_KO_1	(1, 0.0330906)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0369325)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 2.4851300000000004e-05)	(32, 0.0)	(33, 0.00129542)	(34, 0.00550008)	(35, 1.2488399999999999e-05)	(36, 0.0051531)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.00042331899999999996)	(46, 0.0)	(47, 0.00182033)	(48, 0.0)	(49, 0.0)	(50, 0.00046476600000000003)	(51, 0.0)
Tconv_KO_2	(1, 0.033705200000000005)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.037336299999999996)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 1.18037e-05)	(32, 0.0)	(33, 0.00128819)	(34, 0.00535712)	(35, 0.0)	(36, 0.0055190099999999995)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.000540868)	(46, 0.0)	(47, 0.00197996)	(48, 0.0)	(49, 0.0)	(50, 0.000567427)	(51, 0.0)
Tconv_KO_3	(1, 0.0333209)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.036846300000000005)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 3.1712200000000004e-05)	(32, 0.0)	(33, 0.00142024)	(34, 0.00556424)	(35, 0.0)	(36, 0.005323339999999999)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.000594246)	(46, 8.04151e-06)	(47, 0.0020552)	(48, 0.0)	(49, 0.0)	(50, 0.000604472)	(51, 0.0)
Tconv_WT_1	(1, 0.03361)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0364986)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 1.08801e-05)	(32, 0.0)	(33, 0.00130806)	(34, 0.00511733)	(35, 2.18439e-05)	(36, 0.00478963)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.00048023)	(46, 0.0)	(47, 0.00181957)	(48, 0.0)	(49, 0.0)	(50, 0.000595291)	(51, 0.0)
Tconv_WT_2	(1, 0.0330728)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.036711799999999996)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 2.1512499999999998e-05)	(32, 0.0)	(33, 0.0012071200000000001)	(34, 0.0051787199999999995)	(35, 0.0)	(36, 0.00514788)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.000519728)	(46, 1.10867e-05)	(47, 0.0018688)	(48, 0.0)	(49, 0.0)	(50, 0.0007008)	(51, 0.0)
Tconv_WT_3	(1, 0.0332798)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0365054)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 1.72149e-05)	(32, 0.0)	(33, 0.00129202)	(34, 0.00554053)	(35, 8.62002e-06)	(36, 0.00515716)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.000478632)	(46, 0.0)	(47, 0.00195571)	(48, 0.0)	(49, 0.0)	(50, 0.000593697)	(51, 0.0)
Treg_KO_1	(1, 0.0324965)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0380114)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 1.11993e-05)	(32, 0.0)	(33, 0.00144647)	(34, 0.00500405)	(35, 0.0)	(36, 0.00494389)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.000604648)	(46, 0.0)	(47, 0.00199432)	(48, 0.0)	(49, 0.0)	(50, 0.000527234)	(51, 0.0)
Treg_KO_2	(1, 0.033628899999999996)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0366626)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 2.14536e-05)	(32, 0.0)	(33, 0.00111633)	(34, 0.00503594)	(35, 1.07414e-05)	(36, 0.00477136)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.000509556)	(46, 0.0)	(47, 0.0018490000000000002)	(48, 0.0)	(49, 0.0)	(50, 0.000500318)	(51, 0.0)
Treg_KO_3	(1, 0.033619500000000004)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0370817)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.00129122)	(34, 0.00501537)	(35, 7.97679e-06)	(36, 0.005131650000000001)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.000540111)	(46, 1.6144e-05)	(47, 0.00206294)	(48, 0.0)	(49, 0.0)	(50, 0.000558207)	(51, 0.0)
Treg_WT_1	(1, 0.0335592)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0365853)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 4.04132e-05)	(32, 0.0)	(33, 0.00127515)	(34, 0.00534801)	(35, 0.0)	(36, 0.00530794)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.000507238)	(46, 0.0)	(47, 0.00212348)	(48, 0.0)	(49, 0.0)	(50, 0.000634961)	(51, 0.0)
