Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Tconv_KO_1	(1, 0.033086)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0369632)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00024774300000000003)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00033445299999999996)	(32, 0.0)	(33, 0.0026013)	(34, 0.00680054)	(35, 0.00100336)	(36, 0.0064413100000000004)	(37, 0.0)	(38, 0.00039638799999999996)	(39, 7.43228e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.000545034)	(44, 0.00016103300000000001)	(45, 0.0016846499999999998)	(46, 0.000854712)	(47, 0.00312156)	(48, 0.0)	(49, 0.0)	(50, 0.00045832399999999997)	(51, 0.0)
Tconv_KO_2	(1, 0.0336941)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0373358)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00020035)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000400699)	(32, 0.0)	(33, 0.00256919)	(34, 0.00663511)	(35, 0.0008249689999999999)	(36, 0.0068001)	(37, 0.0)	(38, 0.000271061)	(39, 2.35706e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.000494982)	(44, 0.00010606700000000001)	(45, 0.0017088700000000001)	(46, 0.00062462)	(47, 0.0032409500000000003)	(48, 0.0)	(49, 0.0)	(50, 0.000589264)	(51, 0.0)
Tconv_KO_3	(1, 0.0333208)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0368453)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000166327)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00043561800000000003)	(32, 0.0)	(33, 0.00272459)	(34, 0.00686692)	(35, 0.000863315)	(36, 0.0066213900000000004)	(37, 0.0)	(38, 0.00029305199999999997)	(39, 6.336260000000001e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.000459379)	(44, 0.000142566)	(45, 0.0018375099999999999)	(46, 0.0007286700000000001)	(47, 0.0033265400000000002)	(48, 0.0)	(49, 0.0)	(50, 0.000594024)	(51, 0.0)
Tconv_WT_1	(1, 0.033606899999999995)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0364835)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000303939)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000412488)	(32, 0.0)	(33, 0.0028439999999999997)	(34, 0.0066758)	(35, 0.00100951)	(36, 0.00635015)	(37, 0.0)	(38, 0.000379923)	(39, 7.59847e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.000651297)	(44, 0.000151969)	(45, 0.0019538900000000002)	(46, 0.0009986560000000001)	(47, 0.00334333)	(48, 0.0)	(49, 0.0)	(50, 0.0005753129999999999)	(51, 0.0)
Tconv_WT_2	(1, 0.0330695)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0367177)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000236058)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000321897)	(32, 0.0)	(33, 0.00251079)	(34, 0.00647012)	(35, 0.0009335)	(36, 0.0064272)	(37, 0.0)	(38, 0.000332627)	(39, 4.29196e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.000407736)	(44, 0.000118029)	(45, 0.0017811600000000002)	(46, 0.000826202)	(47, 0.0031224)	(48, 0.0)	(49, 0.0)	(50, 0.000686713)	(51, 0.0)
Tconv_WT_3	(1, 0.0332868)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0365201)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000171981)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00040415399999999994)	(32, 0.0)	(33, 0.00252811)	(34, 0.00678463)	(35, 0.0008857)	(36, 0.00639768)	(37, 0.0)	(38, 0.000326763)	(39, 2.57971e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.000464348)	(44, 0.000137584)	(45, 0.00162522)	(46, 0.0007825120000000001)	(47, 0.0031816400000000003)	(48, 0.0)	(49, 0.0)	(50, 0.000593333)	(51, 0.0)
Treg_KO_1	(1, 0.032487800000000004)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0380236)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000156568)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000436153)	(32, 0.0)	(33, 0.00272875)	(34, 0.006273890000000001)	(35, 0.0008387550000000001)	(36, 0.00621797)	(37, 0.0)	(38, 0.000290768)	(39, 3.35502e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.000458519)	(44, 0.000134201)	(45, 0.0017669800000000002)	(46, 0.000805205)	(47, 0.0032431899999999995)	(48, 0.0)	(49, 0.0)	(50, 0.000514436)	(51, 0.0)
Treg_KO_2	(1, 0.0336415)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.036653)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000289366)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000342952)	(32, 0.0)	(33, 0.0025828599999999998)	(34, 0.00649466)	(35, 0.000953836)	(36, 0.00624816)	(37, 0.0)	(38, 0.000225063)	(39, 2.14345e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.00048227700000000003)	(44, 5.35863e-05)	(45, 0.00190767)	(46, 0.0007823600000000001)	(47, 0.0032901999999999996)	(48, 0.0)	(49, 0.0)	(50, 0.0004929940000000001)	(51, 0.0)
Treg_KO_3	(1, 0.0336105)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0370877)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000167097)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000413765)	(32, 0.0)	(33, 0.00273722)	(34, 0.00646906)	(35, 0.0009866710000000002)	(36, 0.00658841)	(37, 0.0)	(38, 0.00027849600000000004)	(39, 4.7742100000000005e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.000469464)	(44, 0.000143226)	(45, 0.00190173)	(46, 0.00082753)	(47, 0.00347722)	(48, 0.0)	(49, 0.0)	(50, 0.0005569920000000001)	(51, 0.0)
Treg_WT_1	(1, 0.0335481)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0365732)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00028234099999999997)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00039326000000000004)	(32, 0.0)	(33, 0.00278307)	(34, 0.0068467599999999995)	(35, 0.00106886)	(36, 0.0068467599999999995)	(37, 0.0)	(38, 0.00033275899999999996)	(39, 5.0418e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.000524347)	(44, 0.000131087)	(45, 0.0019058)	(46, 0.000968025)	(47, 0.00362001)	(48, 0.0)	(49, 0.0)	(50, 0.000615099)	(51, 0.0)
