Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Tconv_KO_1	(1, 34.6273)	(2, 34.6018)	(3, 34.5682)	(4, 34.6398)	(5, 34.6045)	(6, 38.5088)	(7, 38.8969)	(8, 39.0901)	(9, 39.189)	(10, 39.1922)	(11, 39.2152)	(12, 39.2023)	(13, 39.1771)	(14, 39.1913)	(15, 39.2046)	(16, 39.189)	(17, 39.2035)	(18, 39.1738)	(19, 39.1717)	(20, 39.1794)	(21, 39.1915)	(22, 39.1869)	(23, 39.1834)	(24, 39.1763)	(25, 39.1778)	(26, 39.1183)	(27, 39.1252)	(28, 39.113)	(29, 39.1151)	(30, 39.1206)	(31, 39.0869)	(32, 39.0635)	(33, 39.005)	(34, 39.0075)	(35, 38.9906)	(36, 38.9847)	(37, 38.9274)	(38, 38.8622)	(39, 38.8539)	(40, 38.7953)	(41, 38.7661)	(42, 38.7325)	(43, 38.6683)	(44, 38.6265)	(45, 38.4987)	(46, 38.3472)	(47, 38.2344)	(48, 38.1309)	(49, 38.0432)	(50, 37.9602)	(51, 35.9507)
Tconv_KO_2	(1, 34.6311)	(2, 34.612)	(3, 34.5813)	(4, 34.6524)	(5, 34.6166)	(6, 38.581)	(7, 38.9093)	(8, 39.0767)	(9, 39.1652)	(10, 39.185)	(11, 39.1749)	(12, 39.1778)	(13, 39.1731)	(14, 39.1489)	(15, 39.1705)	(16, 39.1562)	(17, 39.1738)	(18, 39.145)	(19, 39.1342)	(20, 39.1415)	(21, 39.1508)	(22, 39.146)	(23, 39.1476)	(24, 39.1412)	(25, 39.1362)	(26, 39.0778)	(27, 39.0843)	(28, 39.0763)	(29, 39.0811)	(30, 39.0845)	(31, 39.0487)	(32, 39.0274)	(33, 38.9782)	(34, 38.9801)	(35, 38.9674)	(36, 38.9658)	(37, 38.9165)	(38, 38.861)	(39, 38.8604)	(40, 38.8214)	(41, 38.8052)	(42, 38.791)	(43, 38.7531)	(44, 38.743)	(45, 38.6533)	(46, 38.5529)	(47, 38.4923)	(48, 38.4295)	(49, 38.3677)	(50, 38.3076)	(51, 36.2736)
Tconv_KO_3	(1, 34.6411)	(2, 34.6222)	(3, 34.5913)	(4, 34.6627)	(5, 34.6271)	(6, 38.6081)	(7, 38.9359)	(8, 39.1015)	(9, 39.1901)	(10, 39.2102)	(11, 39.2043)	(12, 39.2052)	(13, 39.2004)	(14, 39.1759)	(15, 39.1975)	(16, 39.1828)	(17, 39.1997)	(18, 39.1717)	(19, 39.1614)	(20, 39.1687)	(21, 39.1775)	(22, 39.1736)	(23, 39.1718)	(24, 39.1688)	(25, 39.1616)	(26, 39.105)	(27, 39.1134)	(28, 39.1072)	(29, 39.1132)	(30, 39.1163)	(31, 39.0808)	(32, 39.0639)	(33, 39.0213)	(34, 39.0269)	(35, 39.0193)	(36, 39.025)	(37, 38.9824)	(38, 38.9294)	(39, 38.9344)	(40, 38.9011)	(41, 38.8878)	(42, 38.8806)	(43, 38.8492)	(44, 38.8453)	(45, 38.7616)	(46, 38.6734)	(47, 38.6229)	(48, 38.5704)	(49, 38.5147)	(50, 38.4628)	(51, 36.4407)
Tconv_WT_1	(1, 34.635)	(2, 34.6111)	(3, 34.5775)	(4, 34.6506)	(5, 34.6155)	(6, 38.5451)	(7, 38.9174)	(8, 39.1015)	(9, 39.1985)	(10, 39.2039)	(11, 39.2273)	(12, 39.2135)	(13, 39.1901)	(14, 39.2025)	(15, 39.214)	(16, 39.1966)	(17, 39.2105)	(18, 39.1816)	(19, 39.1759)	(20, 39.1845)	(21, 39.1949)	(22, 39.1907)	(23, 39.1889)	(24, 39.1822)	(25, 39.1813)	(26, 39.1231)	(27, 39.1289)	(28, 39.1196)	(29, 39.1215)	(30, 39.1244)	(31, 39.0922)	(32, 39.0723)	(33, 39.0184)	(34, 39.0221)	(35, 39.0068)	(36, 39.0011)	(37, 38.9479)	(38, 38.8882)	(39, 38.8854)	(40, 38.8363)	(41, 38.8127)	(42, 38.7901)	(43, 38.7378)	(44, 38.7126)	(45, 38.6065)	(46, 38.4837)	(47, 38.3992)	(48, 38.3232)	(49, 38.2484)	(50, 38.1768)	(51, 36.1567)
Tconv_WT_2	(1, 34.633)	(2, 34.6097)	(3, 34.5759)	(4, 34.6475)	(5, 34.6119)	(6, 38.5368)	(7, 38.9134)	(8, 39.1002)	(9, 39.1977)	(10, 39.1996)	(11, 39.224)	(12, 39.2122)	(13, 39.1888)	(14, 39.2022)	(15, 39.2135)	(16, 39.1982)	(17, 39.2099)	(18, 39.182)	(19, 39.176)	(20, 39.1828)	(21, 39.193)	(22, 39.1907)	(23, 39.1892)	(24, 39.1824)	(25, 39.1804)	(26, 39.1231)	(27, 39.1292)	(28, 39.1203)	(29, 39.1229)	(30, 39.1254)	(31, 39.0914)	(32, 39.0716)	(33, 39.0164)	(34, 39.0205)	(35, 39.0051)	(36, 38.9992)	(37, 38.9473)	(38, 38.8839)	(39, 38.8829)	(40, 38.8343)	(41, 38.8084)	(42, 38.7857)	(43, 38.7336)	(44, 38.7072)	(45, 38.5984)	(46, 38.4691)	(47, 38.381)	(48, 38.2954)	(49, 38.2151)	(50, 38.1392)	(51, 36.1316)
Tconv_WT_3	(1, 34.6341)	(2, 34.6138)	(3, 34.5839)	(4, 34.6542)	(5, 34.6205)	(6, 38.5962)	(7, 38.9089)	(8, 39.0702)	(9, 39.1564)	(10, 39.1737)	(11, 39.1626)	(12, 39.1642)	(13, 39.1608)	(14, 39.1357)	(15, 39.1575)	(16, 39.1427)	(17, 39.1605)	(18, 39.1339)	(19, 39.1234)	(20, 39.1317)	(21, 39.1397)	(22, 39.1344)	(23, 39.1347)	(24, 39.1313)	(25, 39.1239)	(26, 39.0666)	(27, 39.0739)	(28, 39.0669)	(29, 39.0734)	(30, 39.0748)	(31, 39.0378)	(32, 39.0184)	(33, 38.9705)	(34, 38.9742)	(35, 38.9619)	(36, 38.9604)	(37, 38.9121)	(38, 38.8573)	(39, 38.856)	(40, 38.8172)	(41, 38.8017)	(42, 38.7893)	(43, 38.7547)	(44, 38.7469)	(45, 38.6581)	(46, 38.5573)	(47, 38.5012)	(48, 38.4406)	(49, 38.3799)	(50, 38.3202)	(51, 36.3005)
Treg_KO_1	(1, 34.6449)	(2, 34.6233)	(3, 34.5939)	(4, 34.6637)	(5, 34.6298)	(6, 38.6172)	(7, 38.946)	(8, 39.1042)	(9, 39.1953)	(10, 39.1957)	(11, 39.2195)	(12, 39.2075)	(13, 39.1797)	(14, 39.1919)	(15, 39.2016)	(16, 39.1838)	(17, 39.1949)	(18, 39.1663)	(19, 39.1607)	(20, 39.1672)	(21, 39.1758)	(22, 39.174)	(23, 39.1715)	(24, 39.1688)	(25, 39.161)	(26, 39.1024)	(27, 39.1104)	(28, 39.103)	(29, 39.1089)	(30, 39.1088)	(31, 39.0727)	(32, 39.0561)	(33, 39.0117)	(34, 39.015)	(35, 39.005)	(36, 39.0109)	(37, 38.968)	(38, 38.9137)	(39, 38.9184)	(40, 38.8844)	(41, 38.8742)	(42, 38.873)	(43, 38.8404)	(44, 38.8413)	(45, 38.7662)	(46, 38.6875)	(47, 38.6502)	(48, 38.6097)	(49, 38.56)	(50, 38.5101)	(51, 36.4706)
Treg_KO_2	(1, 34.6416)	(2, 34.6214)	(3, 34.5917)	(4, 34.6624)	(5, 34.628)	(6, 38.6279)	(7, 38.9286)	(8, 39.0822)	(9, 39.1671)	(10, 39.1874)	(11, 39.1756)	(12, 39.175)	(13, 39.1719)	(14, 39.1445)	(15, 39.1655)	(16, 39.1492)	(17, 39.1686)	(18, 39.141)	(19, 39.13)	(20, 39.1369)	(21, 39.1448)	(22, 39.1411)	(23, 39.1398)	(24, 39.1381)	(25, 39.1308)	(26, 39.0725)	(27, 39.0808)	(28, 39.0742)	(29, 39.0799)	(30, 39.0826)	(31, 39.0439)	(32, 39.0292)	(33, 38.9853)	(34, 38.9889)	(35, 38.98)	(36, 38.9846)	(37, 38.9401)	(38, 38.8903)	(39, 38.8929)	(40, 38.8615)	(41, 38.8508)	(42, 38.8439)	(43, 38.8199)	(44, 38.8212)	(45, 38.7494)	(46, 38.6722)	(47, 38.6361)	(48, 38.5921)	(49, 38.5436)	(50, 38.4934)	(51, 36.4537)
Treg_KO_3	(1, 34.6261)	(2, 34.604)	(3, 34.5727)	(4, 34.6452)	(5, 34.6104)	(6, 38.5799)	(7, 38.9015)	(8, 39.0641)	(9, 39.1549)	(10, 39.1736)	(11, 39.1631)	(12, 39.1653)	(13, 39.1609)	(14, 39.1337)	(15, 39.1549)	(16, 39.1411)	(17, 39.1571)	(18, 39.1309)	(19, 39.1205)	(20, 39.1279)	(21, 39.136)	(22, 39.1303)	(23, 39.1318)	(24, 39.1292)	(25, 39.1209)	(26, 39.063)	(27, 39.0719)	(28, 39.0643)	(29, 39.0702)	(30, 39.0733)	(31, 39.0369)	(32, 39.0183)	(33, 38.9752)	(34, 38.9805)	(35, 38.9714)	(36, 38.9774)	(37, 38.9329)	(38, 38.8823)	(39, 38.8838)	(40, 38.8515)	(41, 38.8403)	(42, 38.8329)	(43, 38.805)	(44, 38.8064)	(45, 38.7311)	(46, 38.6485)	(47, 38.6073)	(48, 38.5612)	(49, 38.5107)	(50, 38.4615)	(51, 36.4301)
Treg_WT_1	(1, 34.6405)	(2, 34.6168)	(3, 34.5845)	(4, 34.6555)	(5, 34.6218)	(6, 38.5679)	(7, 38.9349)	(8, 39.1111)	(9, 39.2062)	(10, 39.2116)	(11, 39.2356)	(12, 39.2253)	(13, 39.1982)	(14, 39.2126)	(15, 39.222)	(16, 39.2064)	(17, 39.219)	(18, 39.1909)	(19, 39.183)	(20, 39.1922)	(21, 39.2024)	(22, 39.198)	(23, 39.1957)	(24, 39.1913)	(25, 39.1865)	(26, 39.1279)	(27, 39.1356)	(28, 39.1294)	(29, 39.1339)	(30, 39.1382)	(31, 39.1044)	(32, 39.0857)	(33, 39.0378)	(34, 39.0428)	(35, 39.0326)	(36, 39.0343)	(37, 38.9886)	(38, 38.9318)	(39, 38.9338)	(40, 38.8951)	(41, 38.8761)	(42, 38.8635)	(43, 38.8215)	(44, 38.8022)	(45, 38.7081)	(46, 38.6087)	(47, 38.5441)	(48, 38.4825)	(49, 38.42)	(50, 38.3603)	(51, 36.3614)
