Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Tconv_KO_1	(1, 34.6243)	(2, 34.599)	(3, 34.5653)	(4, 34.6368)	(5, 34.6014)	(6, 38.5045)	(7, 38.8924)	(8, 39.0855)	(9, 39.1843)	(10, 39.1874)	(11, 39.2104)	(12, 39.1974)	(13, 39.1722)	(14, 39.1864)	(15, 39.1996)	(16, 39.1841)	(17, 39.1985)	(18, 39.1688)	(19, 39.1666)	(20, 39.1742)	(21, 39.1861)	(22, 39.1814)	(23, 39.1776)	(24, 39.1703)	(25, 39.1712)	(26, 39.1111)	(27, 39.1172)	(28, 39.1039)	(29, 39.1042)	(30, 39.1072)	(31, 39.0698)	(32, 39.0458)	(33, 38.9865)	(34, 38.9888)	(35, 38.9717)	(36, 38.9645)	(37, 38.9074)	(38, 38.8419)	(39, 38.8342)	(40, 38.7777)	(41, 38.7487)	(42, 38.7165)	(43, 38.6532)	(44, 38.6124)	(45, 38.4878)	(46, 38.3428)	(47, 38.2365)	(48, 38.1381)	(49, 38.052)	(50, 37.9723)	(51, 35.9304)
Tconv_KO_2	(1, 34.6299)	(2, 34.6108)	(3, 34.58)	(4, 34.6511)	(5, 34.6152)	(6, 38.5788)	(7, 38.9071)	(8, 39.0745)	(9, 39.1629)	(10, 39.1826)	(11, 39.1725)	(12, 39.1753)	(13, 39.1706)	(14, 39.1464)	(15, 39.168)	(16, 39.1536)	(17, 39.1711)	(18, 39.1422)	(19, 39.1314)	(20, 39.1386)	(21, 39.1479)	(22, 39.143)	(23, 39.1443)	(24, 39.1377)	(25, 39.1325)	(26, 39.0736)	(27, 39.0795)	(28, 39.0708)	(29, 39.0744)	(30, 39.0762)	(31, 39.0379)	(32, 39.0161)	(33, 38.9663)	(34, 38.968)	(35, 38.9552)	(36, 38.9529)	(37, 38.9037)	(38, 38.8481)	(39, 38.8475)	(40, 38.8093)	(41, 38.793)	(42, 38.7793)	(43, 38.7413)	(44, 38.7313)	(45, 38.6426)	(46, 38.5449)	(47, 38.487)	(48, 38.4258)	(49, 38.3645)	(50, 38.3063)	(51, 36.2546)
Tconv_KO_3	(1, 34.6402)	(2, 34.6213)	(3, 34.5903)	(4, 34.6617)	(5, 34.626)	(6, 38.6064)	(7, 38.9342)	(8, 39.0998)	(9, 39.1883)	(10, 39.2085)	(11, 39.2025)	(12, 39.2033)	(13, 39.1985)	(14, 39.174)	(15, 39.1955)	(16, 39.1808)	(17, 39.1976)	(18, 39.1696)	(19, 39.1593)	(20, 39.1665)	(21, 39.1752)	(22, 39.1712)	(23, 39.1693)	(24, 39.1659)	(25, 39.1585)	(26, 39.1016)	(27, 39.1096)	(28, 39.1029)	(29, 39.1081)	(30, 39.1103)	(31, 39.0731)	(32, 39.0558)	(33, 39.0127)	(34, 39.0181)	(35, 39.0105)	(36, 39.0157)	(37, 38.9732)	(38, 38.92)	(39, 38.9251)	(40, 38.8924)	(41, 38.879)	(42, 38.872)	(43, 38.8405)	(44, 38.8365)	(45, 38.7531)	(46, 38.6665)	(47, 38.6179)	(48, 38.5662)	(49, 38.5106)	(50, 38.4603)	(51, 36.4257)
Tconv_WT_1	(1, 34.633)	(2, 34.6091)	(3, 34.5755)	(4, 34.6486)	(5, 34.6133)	(6, 38.542)	(7, 38.9143)	(8, 39.0983)	(9, 39.1952)	(10, 39.2005)	(11, 39.2239)	(12, 39.2101)	(13, 39.1866)	(14, 39.199)	(15, 39.2105)	(16, 39.193)	(17, 39.2068)	(18, 39.1779)	(19, 39.1722)	(20, 39.1808)	(21, 39.1911)	(22, 39.1867)	(23, 39.1847)	(24, 39.1777)	(25, 39.1764)	(26, 39.1177)	(27, 39.1229)	(28, 39.1125)	(29, 39.113)	(30, 39.1136)	(31, 39.0781)	(32, 39.0576)	(33, 39.0028)	(34, 39.0063)	(35, 38.9908)	(36, 38.9842)	(37, 38.9309)	(38, 38.8711)	(39, 38.8682)	(40, 38.8205)	(41, 38.7966)	(42, 38.775)	(43, 38.7226)	(44, 38.6977)	(45, 38.5936)	(46, 38.4753)	(47, 38.3951)	(48, 38.3226)	(49, 38.249)	(50, 38.1803)	(51, 36.1335)
Tconv_WT_2	(1, 34.6308)	(2, 34.6076)	(3, 34.5737)	(4, 34.6453)	(5, 34.6094)	(6, 38.5334)	(7, 38.9099)	(8, 39.0968)	(9, 39.1941)	(10, 39.1959)	(11, 39.2203)	(12, 39.2084)	(13, 39.185)	(14, 39.1983)	(15, 39.2096)	(16, 39.1943)	(17, 39.2059)	(18, 39.1779)	(19, 39.1719)	(20, 39.1786)	(21, 39.1887)	(22, 39.1862)	(23, 39.1845)	(24, 39.1776)	(25, 39.1751)	(26, 39.1173)	(27, 39.1228)	(28, 39.1129)	(29, 39.1142)	(30, 39.1146)	(31, 39.0772)	(32, 39.0569)	(33, 39.001)	(34, 39.005)	(35, 38.9895)	(36, 38.9825)	(37, 38.9307)	(38, 38.867)	(39, 38.8664)	(40, 38.8193)	(41, 38.7935)	(42, 38.7717)	(43, 38.7202)	(44, 38.6943)	(45, 38.5879)	(46, 38.463)	(47, 38.3799)	(48, 38.2979)	(49, 38.2191)	(50, 38.1463)	(51, 36.1124)
Tconv_WT_3	(1, 34.633)	(2, 34.6126)	(3, 34.5827)	(4, 34.6531)	(5, 34.6193)	(6, 38.5941)	(7, 38.9068)	(8, 39.068)	(9, 39.1542)	(10, 39.1715)	(11, 39.1603)	(12, 39.1619)	(13, 39.1584)	(14, 39.1332)	(15, 39.155)	(16, 39.1402)	(17, 39.1579)	(18, 39.1313)	(19, 39.1208)	(20, 39.1289)	(21, 39.1368)	(22, 39.1314)	(23, 39.1316)	(24, 39.128)	(25, 39.1203)	(26, 39.0626)	(27, 39.0694)	(28, 39.0617)	(29, 39.0672)	(30, 39.0672)	(31, 39.028)	(32, 39.0083)	(33, 38.9597)	(34, 38.9633)	(35, 38.9508)	(36, 38.949)	(37, 38.9008)	(38, 38.846)	(39, 38.8448)	(40, 38.8066)	(41, 38.7911)	(42, 38.779)	(43, 38.7444)	(44, 38.7364)	(45, 38.6481)	(46, 38.5487)	(47, 38.4943)	(48, 38.4348)	(49, 38.3742)	(50, 38.316)	(51, 36.2848)
Treg_KO_1	(1, 34.644)	(2, 34.6225)	(3, 34.5931)	(4, 34.6628)	(5, 34.6288)	(6, 38.6156)	(7, 38.9444)	(8, 39.1026)	(9, 39.1937)	(10, 39.194)	(11, 39.2178)	(12, 39.2057)	(13, 39.1779)	(14, 39.1901)	(15, 39.1998)	(16, 39.182)	(17, 39.193)	(18, 39.1644)	(19, 39.1587)	(20, 39.1652)	(21, 39.1737)	(22, 39.1718)	(23, 39.169)	(24, 39.1661)	(25, 39.1581)	(26, 39.099)	(27, 39.1066)	(28, 39.0985)	(29, 39.1033)	(30, 39.1021)	(31, 39.0637)	(32, 39.0466)	(33, 39.0016)	(34, 39.0047)	(35, 38.9947)	(36, 38.9999)	(37, 38.9567)	(38, 38.902)	(39, 38.9064)	(40, 38.873)	(41, 38.8629)	(42, 38.8617)	(43, 38.829)	(44, 38.8294)	(45, 38.7549)	(46, 38.6785)	(47, 38.6426)	(48, 38.6037)	(49, 38.5546)	(50, 38.5065)	(51, 36.4456)
Treg_KO_2	(1, 34.6406)	(2, 34.6204)	(3, 34.5906)	(4, 34.6614)	(5, 34.627)	(6, 38.6261)	(7, 38.9268)	(8, 39.0804)	(9, 39.1653)	(10, 39.1855)	(11, 39.1737)	(12, 39.1731)	(13, 39.1698)	(14, 39.1423)	(15, 39.1634)	(16, 39.147)	(17, 39.1664)	(18, 39.1387)	(19, 39.1278)	(20, 39.1345)	(21, 39.1424)	(22, 39.1385)	(23, 39.1371)	(24, 39.1352)	(25, 39.1276)	(26, 39.069)	(27, 39.0767)	(28, 39.0695)	(29, 39.0744)	(30, 39.0761)	(31, 39.0356)	(32, 39.0207)	(33, 38.9761)	(34, 38.9796)	(35, 38.9705)	(36, 38.9748)	(37, 38.9305)	(38, 38.8806)	(39, 38.8834)	(40, 38.8525)	(41, 38.8417)	(42, 38.8351)	(43, 38.8109)	(44, 38.812)	(45, 38.7405)	(46, 38.6644)	(47, 38.6296)	(48, 38.5864)	(49, 38.5375)	(50, 38.4888)	(51, 36.4389)
Treg_KO_3	(1, 34.625)	(2, 34.603)	(3, 34.5716)	(4, 34.644)	(5, 34.6093)	(6, 38.5781)	(7, 38.8997)	(8, 39.0623)	(9, 39.153)	(10, 39.1716)	(11, 39.161)	(12, 39.1632)	(13, 39.1588)	(14, 39.1315)	(15, 39.1527)	(16, 39.1388)	(17, 39.1548)	(18, 39.1285)	(19, 39.1181)	(20, 39.1254)	(21, 39.1335)	(22, 39.1277)	(23, 39.129)	(24, 39.1262)	(25, 39.1176)	(26, 39.0594)	(27, 39.0678)	(28, 39.0596)	(29, 39.0647)	(30, 39.0667)	(31, 39.0284)	(32, 39.0097)	(33, 38.9659)	(34, 38.9712)	(35, 38.9621)	(36, 38.9676)	(37, 38.9234)	(38, 38.8728)	(39, 38.8745)	(40, 38.8429)	(41, 38.8317)	(42, 38.8246)	(43, 38.7965)	(44, 38.7976)	(45, 38.7225)	(46, 38.6413)	(47, 38.6017)	(48, 38.5565)	(49, 38.5053)	(50, 38.4577)	(51, 36.4142)
Treg_WT_1	(1, 34.639)	(2, 34.6153)	(3, 34.583)	(4, 34.654)	(5, 34.6201)	(6, 38.5654)	(7, 38.9324)	(8, 39.1085)	(9, 39.2035)	(10, 39.2089)	(11, 39.2328)	(12, 39.2225)	(13, 39.1954)	(14, 39.2096)	(15, 39.219)	(16, 39.2035)	(17, 39.216)	(18, 39.1879)	(19, 39.1799)	(20, 39.189)	(21, 39.1992)	(22, 39.1947)	(23, 39.1922)	(24, 39.1875)	(25, 39.1825)	(26, 39.1235)	(27, 39.1305)	(28, 39.1236)	(29, 39.1271)	(30, 39.1297)	(31, 39.0936)	(32, 39.0747)	(33, 39.0261)	(34, 39.031)	(35, 39.0206)	(36, 39.0215)	(37, 38.976)	(38, 38.9192)	(39, 38.9214)	(40, 38.884)	(41, 38.865)	(42, 38.8529)	(43, 38.8109)	(44, 38.7916)	(45, 38.699)	(46, 38.6027)	(47, 38.5416)	(48, 38.4821)	(49, 38.4198)	(50, 38.3622)	(51, 36.3384)
