.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Tconv_KO_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Tconv_KO_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Tconv_KO_3	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Tconv_WT_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Tconv_WT_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Tconv_WT_3	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Treg_KO_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Treg_KO_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Treg_KO_3	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Treg_WT_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Treg_WT_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Treg_WT_3	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
