Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
Tconv_KO_1 - polya	(1, 0.02318817732622593)	(2, 0.027017758723234912)	(3, 0.03054989690494223)	(4, 0.03853128984887034)	(5, 0.055547520457586645)	(6, 0.06407422596290115)	(7, 0.07566211789236199)	(8, 0.07999983144884466)	(9, 0.08731197715834402)	(10, 0.10988048111935814)	(11, 0.13971155692065468)	(12, 0.17342178798817712)	(13, 0.20280669896652115)	(14, 0.24926980789010267)	(15, 0.30487929568421046)	(16, 0.3519992583749165)	(17, 0.4029364089953273)	(18, 0.4374770023722336)	(19, 0.48598503340101407)	(20, 0.5332165372974582)	(21, 0.5685627060491398)	(22, 0.6085192446379973)	(23, 0.6585888525471116)	(24, 0.6950380398888703)	(25, 0.7409930166529781)	(26, 0.7791525024827214)	(27, 0.817646611929679)	(28, 0.8953412584599357)	(29, 0.9254202036073169)	(30, 0.964087821596534)	(31, 0.9922085989098458)	(32, 1.0225602003379204)	(33, 1.050668584183928)	(34, 1.0800163147603592)	(35, 1.1320812709054555)	(36, 1.169360820556598)	(37, 1.2007410797709241)	(38, 1.2282793641209369)	(39, 1.2652242901548651)	(40, 1.3206478759394094)
Tconv_KO_2 - polya	(1, 0.02166846726363805)	(2, 0.02342505138892753)	(3, 0.025228792135030154)	(4, 0.029744038577888356)	(5, 0.03840906765230292)	(6, 0.045376458377444424)	(7, 0.05279183700031076)	(8, 0.05643468595812586)	(9, 0.060631625210495366)	(10, 0.06886045554238839)	(11, 0.07878692422355445)	(12, 0.09058786858204285)	(13, 0.10224734307809183)	(14, 0.11829238330976288)	(15, 0.13724934487664536)	(16, 0.15403710188612335)	(17, 0.1746799126470756)	(18, 0.18876795311500133)	(19, 0.20722977016334582)	(20, 0.22560906312526732)	(21, 0.24007435655969817)	(22, 0.2561901317225889)	(23, 0.27414501509719214)	(24, 0.28977743489674823)	(25, 0.30827461941070256)	(26, 0.32492090655774114)	(27, 0.34212128399933417)	(28, 0.36770375079046286)	(29, 0.3824166164841627)	(30, 0.39940478913209654)	(31, 0.4126086429597759)	(32, 0.42633121961639975)	(33, 0.43993590472099076)	(34, 0.45311618023826356)	(35, 0.4728276477381563)	(36, 0.48741083272461994)	(37, 0.5007443672595354)	(38, 0.5136888596727425)	(39, 0.5297456890596168)	(40, 0.5518031984449633)
Tconv_KO_3 - polya	(1, 0.008872905687271112)	(2, 0.010330597335894223)	(3, 0.011297110276829113)	(4, 0.013562870121971557)	(5, 0.01800724520282789)	(6, 0.020890939551191)	(7, 0.02413905681170989)	(8, 0.02563635964643689)	(9, 0.02760107447718978)	(10, 0.03371704161163022)	(11, 0.040553932333161444)	(12, 0.049410993545991)	(13, 0.05972574640744367)	(14, 0.07327277205497368)	(15, 0.0903055820796459)	(16, 0.10355156271278634)	(17, 0.11812847919901745)	(18, 0.12964741211802835)	(19, 0.144097572808727)	(20, 0.1581833105872699)	(21, 0.17076382329386502)	(22, 0.18458812724412224)	(23, 0.19791333024947047)	(24, 0.21114346640816936)	(25, 0.22558570486164722)	(26, 0.23885545220645002)	(27, 0.2521331217884736)	(28, 0.26957788814862627)	(29, 0.281350332658702)	(30, 0.2941289012958166)	(31, 0.3051328887954769)	(32, 0.3159784315507217)	(33, 0.3265942294265639)	(34, 0.3375823724517827)	(35, 0.35162057680700093)	(36, 0.3632345765726611)	(37, 0.373826607736841)	(38, 0.38410967164941057)	(39, 0.39669018435600567)	(40, 0.41192464653156136)
Tconv_WT_1 - polya	(1, 0.014953473196632308)	(2, 0.017668337611416677)	(3, 0.020187731788336574)	(4, 0.02652965506127286)	(5, 0.03979991232073886)	(6, 0.04660879227301806)	(7, 0.057305358067268476)	(8, 0.06078038451819247)	(9, 0.06642730250094396)	(10, 0.08262961332837708)	(11, 0.10452227996919823)	(12, 0.12851082193823293)	(13, 0.14778635928320194)	(14, 0.1799303539542489)	(15, 0.21966510952903293)	(16, 0.25429592000402235)	(17, 0.29421528635901173)	(18, 0.31995220101116756)	(19, 0.35592958423589)	(20, 0.39237392413995537)	(21, 0.42150984903942124)	(22, 0.4529371195049651)	(23, 0.49157506985617627)	(24, 0.5201245840420486)	(25, 0.5580023723571202)	(26, 0.589179875296504)	(27, 0.6176099354481258)	(28, 0.6773260931157228)	(29, 0.700478456845004)	(30, 0.7313518949699318)	(31, 0.7530273724575702)	(32, 0.7760494226949417)	(33, 0.7968344246545308)	(34, 0.8195958479080829)	(35, 0.8581360631403618)	(36, 0.8865335449190064)	(37, 0.9102723193618809)	(38, 0.9330011642424556)	(39, 0.9626040458212644)	(40, 1.004760460454036)
Tconv_WT_2 - polya	(1, 0.018098282691955313)	(2, 0.020889239690714732)	(3, 0.023433304339583898)	(4, 0.030582448036406102)	(5, 0.04556774022974514)	(6, 0.053844001176066345)	(7, 0.0658665851707223)	(8, 0.06965584601903797)	(9, 0.0757208102663421)	(10, 0.09086711920960956)	(11, 0.11120890195056764)	(12, 0.13405181154041396)	(13, 0.15333088373184442)	(14, 0.18336587481849387)	(15, 0.22042119620202277)	(16, 0.2546318883368161)	(17, 0.29303975041974384)	(18, 0.31737474855892694)	(19, 0.3512741416438586)	(20, 0.3855277715786329)	(21, 0.4142209564158788)	(22, 0.4434293948528956)	(23, 0.4800982760365963)	(24, 0.5071061522245913)	(25, 0.5422936793089504)	(26, 0.5710834741961534)	(27, 0.5992399365336378)	(28, 0.6551342176587929)	(29, 0.677451139198873)	(30, 0.7070996900856942)	(31, 0.727945991976428)	(32, 0.750864042716241)	(33, 0.7727408518065166)	(34, 0.7958521226462437)	(35, 0.8342599847291714)	(36, 0.8625452604665986)	(37, 0.8856350624063352)	(38, 0.9073830580966682)	(39, 0.9362909319338186)	(40, 0.9790784496147996)
Tconv_WT_3 - polya	(1, 0.015594792079187481)	(2, 0.016910844582284937)	(3, 0.01799465252601225)	(4, 0.021005230147477016)	(5, 0.026837149082771617)	(6, 0.03128420231219243)	(7, 0.03601511000306563)	(8, 0.03817412424017322)	(9, 0.04106427875677939)	(10, 0.047033824097626666)	(11, 0.053923746025607455)	(12, 0.06176845114210993)	(13, 0.0697937909159003)	(14, 0.08121678257677231)	(15, 0.09625246738340205)	(16, 0.10940439076402955)	(17, 0.1251196059480756)	(18, 0.13606090518951328)	(19, 0.14950528468194021)	(20, 0.16282063941916153)	(21, 0.17434685088419805)	(22, 0.1868966587405326)	(23, 0.19997976891838376)	(24, 0.21206508765597804)	(25, 0.2261115826726979)	(26, 0.23948714896234852)	(27, 0.2525788607905467)	(28, 0.2726379093998491)	(29, 0.2841469175641915)	(30, 0.29683435182607876)	(31, 0.30768103291369897)	(32, 0.3187169503089541)	(33, 0.3300797304173968)	(34, 0.3418725930431916)	(35, 0.3570889125071093)	(36, 0.36909681639158015)	(37, 0.37957362651427756)	(38, 0.39057513730814447)	(39, 0.4047764620311111)	(40, 0.4221431940817893)
Treg_KO_1 - polya	(1, 0.025471422674600057)	(2, 0.026869722118748062)	(3, 0.028368699122874725)	(4, 0.03180292255770222)	(5, 0.03808967685859165)	(6, 0.04413033045731104)	(7, 0.04981301939832853)	(8, 0.05269910945105001)	(9, 0.05624519684140935)	(10, 0.06321432127104301)	(11, 0.06978073546076204)	(12, 0.07796917700569275)	(13, 0.08772371392806924)	(14, 0.09950298844557204)	(15, 0.11385513394030716)	(16, 0.12602593230217138)	(17, 0.13965096208594954)	(18, 0.15092684880355905)	(19, 0.16494340243169867)	(20, 0.1778077573178603)	(21, 0.18921788078210802)	(22, 0.20225003160156743)	(23, 0.21519269125660137)	(24, 0.2289855169736773)	(25, 0.2425769875707959)	(26, 0.2560565942123827)	(27, 0.26939077771177805)	(28, 0.2851188498595548)	(29, 0.2974462577591636)	(30, 0.310355358227538)	(31, 0.32168717692291343)	(32, 0.3331420459693739)	(33, 0.34410471361149425)	(34, 0.3560070384800821)	(35, 0.36911749406841377)	(36, 0.38040456718157645)	(37, 0.39096452458378217)	(38, 0.4006743159239459)	(39, 0.4130129102191079)	(40, 0.42779013874486405)
Treg_KO_2 - polya	(1, 0.01765595395858923)	(2, 0.018995962607541054)	(3, 0.019907168488828293)	(4, 0.022576465717540326)	(5, 0.028011540797688923)	(6, 0.032471089581400596)	(7, 0.03678055739642966)	(8, 0.03881737054283643)	(9, 0.041465227633165236)	(10, 0.04653582036079894)	(11, 0.05176721412630686)	(12, 0.05793125391148524)	(13, 0.06427753487292108)	(14, 0.07302511133327859)	(15, 0.08383094107842609)	(16, 0.09256779746959198)	(17, 0.10267682271728455)	(18, 0.1105024732271632)	(19, 0.12021485591476602)	(20, 0.1295949164574288)	(21, 0.1383532129869779)	(22, 0.14669342681805406)	(23, 0.15610564756829168)	(24, 0.16544282783418798)	(25, 0.17606641640307802)	(26, 0.1861968817891538)	(27, 0.1958020637848405)	(28, 0.21071368003037638)	(29, 0.22010446064223077)	(30, 0.230417167204564)	(31, 0.23887530179674793)	(32, 0.24722623569701568)	(33, 0.25565221008162475)	(34, 0.2637137021137189)	(35, 0.27473393324269874)	(36, 0.2828597456899426)	(37, 0.2914679612508091)	(38, 0.29877904843949027)	(39, 0.308577191680626)	(40, 0.3209588715969408)
Treg_KO_3 - polya	(1, 0.01341913300939578)	(2, 0.014533414516700293)	(3, 0.015560145334145167)	(4, 0.01840952233139528)	(5, 0.023654604569350094)	(6, 0.027148673010112104)	(7, 0.031207841358149975)	(8, 0.033229466378545305)	(9, 0.03569680400186244)	(10, 0.040806580628215995)	(11, 0.04695900637926163)	(12, 0.054790813544887636)	(13, 0.06271017140037329)	(14, 0.07262727681538345)	(15, 0.08604640982477924)	(16, 0.09803289518192636)	(17, 0.11178631264351349)	(18, 0.12125770545560186)	(19, 0.1335307203431987)	(20, 0.1448486367959631)	(21, 0.1547896196718441)	(22, 0.16541508975935498)	(23, 0.17729014696577167)	(24, 0.18770867905906885)	(25, 0.2001727136336322)	(26, 0.2109892034081096)	(27, 0.2217022241854801)	(28, 0.23893379178058205)	(29, 0.24908967180430033)	(30, 0.26041554741068834)	(31, 0.2698312261474115)	(32, 0.2797722090232925)	(33, 0.2885989103918689)	(34, 0.29853989326774993)	(35, 0.3116008643640835)	(36, 0.32272776112988144)	(37, 0.33224690886371144)	(38, 0.34163075098594015)	(39, 0.35360927718946367)	(40, 0.3690818718337492)
Treg_WT_1 - polya	(1, 0.01846917287256765)	(2, 0.020970732060113677)	(3, 0.023028466230514442)	(4, 0.027486890266382766)	(5, 0.036887911084096066)	(6, 0.04245589766282755)	(7, 0.0489216212080574)	(8, 0.05190735314158008)	(9, 0.05628508171978563)	(10, 0.07038661294635558)	(11, 0.08436710098643137)	(12, 0.10205958007899481)	(13, 0.12041779669727613)	(14, 0.1453022584540344)	(15, 0.17829661370590158)	(16, 0.2045730721073427)	(17, 0.23178761520411362)	(18, 0.25380738821384335)	(19, 0.28104210517503)	(20, 0.30726812891543187)	(21, 0.32991329172204814)	(22, 0.3546666233601044)	(23, 0.3827486426267501)	(24, 0.4068059759424649)	(25, 0.4353721679550873)	(26, 0.4600145433388573)	(27, 0.48375918175612886)	(28, 0.5173789268048825)	(29, 0.5379260077122666)	(30, 0.5612671688412243)	(31, 0.5799885150189882)	(32, 0.5998900322650701)	(33, 0.6187021608327045)	(34, 0.6374537678070918)	(35, 0.6622171863773559)	(36, 0.6829861797933127)	(37, 0.7015562219879589)	(38, 0.7193394834703929)	(39, 0.7411171701071343)	(40, 0.7680694529665012)
