Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Tconv_KO_1	0.3794260015191912	5.66117474950014
Tconv_KO_2	0.21227552859035184	2.2110678475313272
Tconv_KO_3	0.19395221163908158	0.9702284701914338
Tconv_WT_1	0.2700747119827491	4.0097787244329
Tconv_WT_2	0.27785050367649544	3.1599966551453815
Tconv_WT_3	0.20382470662351163	1.9363347129233603
Treg_KO_1	0.1595963053572767	1.6905328415793848
Treg_KO_2	0.16269849012113463	2.107501282656279
Treg_KO_3	0.15283962703406118	1.3218801112689675
Treg_WT_1	0.26644631427027554	1.50902523215831
Treg_WT_2	0.3078376056990762	1.2170688076120535
Treg_WT_3	0.2110532884335424	2.824714580080131
