Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Tconv_KO_1	(1, 0.03309055770231065)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.03693253256662387)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 2.485131149690011e-05)	(32, 0.0)	(33, 0.0012954242377362561)	(34, 0.005500081503475341)	(35, 1.2488387360802874e-05)	(36, 0.005153100878453609)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.00042331892039308114)	(46, 0.0)	(47, 0.0018203331209611358)	(48, 0.0)	(49, 0.0)	(50, 0.00046476590322411975)	(51, 0.0)
Tconv_KO_2	(1, 0.033705194726192156)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.03733625452880397)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 1.1803680245856494e-05)	(32, 0.0)	(33, 0.0012881901094417953)	(34, 0.005357120683630094)	(35, 0.0)	(36, 0.0055190082460615485)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0005408675948916137)	(46, 0.0)	(47, 0.0019799565616847015)	(48, 0.0)	(49, 0.0)	(50, 0.000567426575604762)	(51, 0.0)
Tconv_KO_3	(1, 0.03332092975059134)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.03684632531383745)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 3.171216265295074e-05)	(32, 0.0)	(33, 0.0014202393952350888)	(34, 0.005564243677995235)	(35, 0.0)	(36, 0.005323337958545975)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0005942462031080522)	(46, 8.041506396093566e-06)	(47, 0.0020552047334508267)	(48, 0.0)	(49, 0.0)	(50, 0.0006044719804267136)	(51, 0.0)
Tconv_WT_1	(1, 0.033610021455030496)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.036498637192361065)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 1.0880079868490298e-05)	(32, 0.0)	(33, 0.0013080622964668693)	(34, 0.005117325321354937)	(35, 2.184393383035564e-05)	(36, 0.004789630253666692)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.00048023036762416413)	(46, 0.0)	(47, 0.0018195682434124047)	(48, 0.0)	(49, 0.0)	(50, 0.0005952908450670213)	(51, 0.0)
Tconv_WT_2	(1, 0.03307284043529912)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.036711818983681595)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 2.151246620526012e-05)	(32, 0.0)	(33, 0.001207116772488774)	(34, 0.005178715866193635)	(35, 0.0)	(36, 0.00514788321962027)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0005197276450211529)	(46, 1.108666501475358e-05)	(47, 0.0018688010451047368)	(48, 0.0)	(49, 0.0)	(50, 0.0007008003919142763)	(51, 0.0)
Tconv_WT_3	(1, 0.03327978519270621)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.03650540407284703)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 1.721486544947239e-05)	(32, 0.0)	(33, 0.0012920248303054588)	(34, 0.005540530445042461)	(35, 8.620022346545931e-06)	(36, 0.0051571637013981516)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0004786317467387121)	(46, 0.0)	(47, 0.0019557092960363273)	(48, 0.0)	(49, 0.0)	(50, 0.0005936974648681708)	(51, 0.0)
Treg_KO_1	(1, 0.03249647908199964)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.038011372089719365)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 1.119930564305013e-05)	(32, 0.0)	(33, 0.0014464672560179765)	(34, 0.005004046433511763)	(35, 0.0)	(36, 0.004943887994869143)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0006046480320988246)	(46, 0.0)	(47, 0.0019943207704496676)	(48, 0.0)	(49, 0.0)	(50, 0.0005272342266706018)	(51, 0.0)
Treg_KO_2	(1, 0.03362885705409497)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0366626366353219)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 2.145362696626514e-05)	(32, 0.0)	(33, 0.0011163283959058656)	(34, 0.005035938778446611)	(35, 1.074142699857676e-05)	(36, 0.004771358950730883)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0005095555764678128)	(46, 0.0)	(47, 0.0018490008054029977)	(48, 0.0)	(49, 0.0)	(50, 0.0005003178649913994)	(51, 0.0)
Treg_KO_3	(1, 0.03361946490610188)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.037081696732369475)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.001291218977667013)	(34, 0.005015370235986326)	(35, 7.976786911943292e-06)	(36, 0.005131646280011352)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0005401110661824691)	(46, 1.6143974548055486e-05)	(47, 0.00206293772201356)	(48, 0.0)	(49, 0.0)	(50, 0.0005582066777213162)	(51, 0.0)
Treg_WT_1	(1, 0.03355922345550659)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.03658530311786066)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 4.041321297874376e-05)	(32, 0.0)	(33, 0.001275154703590289)	(34, 0.005348010651454548)	(35, 0.0)	(36, 0.005307939124129151)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0005072378703379922)	(46, 0.0)	(47, 0.0021234759636052877)	(48, 0.0)	(49, 0.0)	(50, 0.0006349609499015811)	(51, 0.0)
