Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Tconv_KO_1	(1, 34.62731963879983)	(2, 34.60180966930883)	(3, 34.568206517798814)	(4, 34.63977866754611)	(5, 34.60450190221133)	(6, 38.50884961729593)	(7, 38.896872595280044)	(8, 39.090064318377266)	(9, 39.18898562816351)	(10, 39.19216641154714)	(11, 39.21522024368779)	(12, 39.202290634987975)	(13, 39.177065095571606)	(14, 39.1913432374488)	(15, 39.20461825208238)	(16, 39.18902091931564)	(17, 39.20352225386968)	(18, 39.17377336872091)	(19, 39.171679058529115)	(20, 39.17938507268681)	(21, 39.19145734933428)	(22, 39.18691681563864)	(23, 39.183364851502695)	(24, 39.176334912513)	(25, 39.17779272302518)	(26, 39.118299492668925)	(27, 39.12524833397605)	(28, 39.11303338274912)	(29, 39.11512034566403)	(30, 39.120605484443274)	(31, 39.08690242691695)	(32, 39.06353739114986)	(33, 39.00497530099307)	(34, 39.00746240083172)	(35, 38.9906450739119)	(36, 38.98468778587515)	(37, 38.927395294291934)	(38, 38.862166364623135)	(39, 38.85390106766859)	(40, 38.795289386010516)	(41, 38.76607543019668)	(42, 38.73254940299418)	(43, 38.668304475050185)	(44, 38.62646978464051)	(45, 38.498651729238546)	(46, 38.34724809643617)	(47, 38.23435330083845)	(48, 38.130936044984175)	(49, 38.04322606923592)	(50, 37.96017692088716)	(51, 35.950734685156604)
Tconv_KO_2	(1, 34.63108420616309)	(2, 34.61199791756363)	(3, 34.58132288939933)	(4, 34.65237518467712)	(5, 34.6165662152049)	(6, 38.581035587687026)	(7, 38.90925250625651)	(8, 39.07674256681975)	(9, 39.16523255523337)	(10, 39.1849518035757)	(11, 39.174915459968034)	(12, 39.177771029141375)	(13, 39.173068335130786)	(14, 39.14894866671728)	(15, 39.17051692616169)	(16, 39.156218777140865)	(17, 39.17376429495362)	(18, 39.14497247346907)	(19, 39.134184111413425)	(20, 39.141497462377764)	(21, 39.150829307605456)	(22, 39.14604348216671)	(23, 39.14763911439497)	(24, 39.141176749378424)	(25, 39.13620020384452)	(26, 39.077793881518936)	(27, 39.08430223852529)	(28, 39.07634514179982)	(29, 39.08109394210103)	(30, 39.08448230365704)	(31, 39.04871378837465)	(32, 39.02736504977343)	(33, 38.97823360535811)	(34, 38.980087949021026)	(35, 38.9673522508593)	(36, 38.965793755372445)	(37, 38.916538399246306)	(38, 38.86104931810281)	(39, 38.860435592990356)	(40, 38.82141051936125)	(41, 38.805241940054785)	(42, 38.79103535738347)	(43, 38.75308718240463)	(44, 38.742972005128266)	(45, 38.653294496636164)	(46, 38.55289116332275)	(47, 38.49230328105363)	(48, 38.429493867567466)	(49, 38.36769749161235)	(50, 38.30756741812457)	(51, 36.27363096265729)
Tconv_KO_3	(1, 34.64110300675046)	(2, 34.62221686855036)	(3, 34.59128718688249)	(4, 34.66265925578345)	(5, 34.62707224929823)	(6, 38.60809532225958)	(7, 38.93586544935682)	(8, 39.10151364641011)	(9, 39.19006104638335)	(10, 39.21018289514515)	(11, 39.20434206730939)	(12, 39.20518111145344)	(13, 39.20035591442938)	(14, 39.17593641042006)	(15, 39.197502562249575)	(16, 39.18279741370603)	(17, 39.19968212802784)	(18, 39.17169471576143)	(19, 39.16138416793634)	(20, 39.168673490414044)	(21, 39.17748354171372)	(22, 39.173620618928474)	(23, 39.171846102131745)	(24, 39.168755739748626)	(25, 39.16155475116994)	(26, 39.104984663348276)	(27, 39.113378213407756)	(28, 39.10720231311696)	(29, 39.11318444611808)	(30, 39.1163275949528)	(31, 39.08084349912954)	(32, 39.063879216024056)	(33, 39.02134151687439)	(34, 39.02689260088942)	(35, 39.019346213232716)	(36, 39.02503971051212)	(37, 38.982384340731514)	(38, 38.929378870123045)	(39, 38.934367373178574)	(40, 38.901060958632165)	(41, 38.887845222191245)	(42, 38.88057636044236)	(43, 38.849165326777076)	(44, 38.845272972749044)	(45, 38.76157661869253)	(46, 38.67335585973715)	(47, 38.622891208825486)	(48, 38.57037468316601)	(49, 38.51471409724568)	(50, 38.46283452386105)	(51, 36.44069037792636)
Tconv_WT_1	(1, 34.63502003515641)	(2, 34.61105614415626)	(3, 34.57750769582616)	(4, 34.6505971670064)	(5, 34.61547322855911)	(6, 38.54514531746158)	(7, 38.9174303308779)	(8, 39.101462953557466)	(9, 39.19846223563872)	(10, 39.203876218254685)	(11, 39.2272849737793)	(12, 39.21346870298873)	(13, 39.190082317946896)	(14, 39.20251889464187)	(15, 39.21404534019043)	(16, 39.19662974486459)	(17, 39.21045282008323)	(18, 39.18155519514191)	(19, 39.17589756559857)	(20, 39.184513320417054)	(21, 39.194881181969734)	(22, 39.19073711041735)	(23, 39.18885996076133)	(24, 39.182165446414444)	(25, 39.181284739040436)	(26, 39.123095163700825)	(27, 39.12894716749281)	(28, 39.11959408375553)	(29, 39.12150893892431)	(30, 39.12439101642296)	(31, 39.09218115028339)	(32, 39.07230565273374)	(33, 39.018429398700114)	(34, 39.02208982400765)	(35, 39.00680001660139)	(36, 39.001106754515924)	(37, 38.94787854585188)	(38, 38.888203181569274)	(39, 38.88543091113389)	(40, 38.83634759487125)	(41, 38.812691138177016)	(42, 38.7900917453968)	(43, 38.737758060778624)	(44, 38.71261459603071)	(45, 38.60646361037637)	(46, 38.483722799120116)	(47, 38.39919912040723)	(48, 38.323241468724035)	(49, 38.24841318486106)	(50, 38.176844960767525)	(51, 36.15669560117131)
Tconv_WT_2	(1, 34.63302822806112)	(2, 34.60972427384398)	(3, 34.575902383488014)	(4, 34.647526068880175)	(5, 34.61185216386653)	(6, 38.53684551655837)	(7, 38.91335581341851)	(8, 39.10024237314644)	(9, 39.19767607745163)	(10, 39.19964370213576)	(11, 39.22399727087343)	(12, 39.212184008653686)	(13, 39.188757144984095)	(14, 39.20218036001413)	(15, 39.21352034033359)	(16, 39.19818381596162)	(17, 39.209854106860064)	(18, 39.181951494157495)	(19, 39.175969414470806)	(20, 39.1828190366351)	(21, 39.19302514384558)	(22, 39.190686614281084)	(23, 39.189167789171485)	(24, 39.18243776079491)	(25, 39.18039955363014)	(26, 39.12308919134298)	(27, 39.12922748167592)	(28, 39.120279687840764)	(29, 39.12290563636315)	(30, 39.1253951575478)	(31, 39.09140496303352)	(32, 39.07156849328122)	(33, 39.01643597264027)	(34, 39.020479016113036)	(35, 39.005114939518165)	(36, 38.9991814216788)	(37, 38.947345870515754)	(38, 38.883864807876485)	(39, 38.88292186808423)	(40, 38.834335402381605)	(41, 38.80842447447027)	(42, 38.78572947834644)	(43, 38.73361025061659)	(44, 38.70719619892381)	(45, 38.598415737441556)	(46, 38.46907480117452)	(47, 38.38103918909163)	(48, 38.29542462997461)	(49, 38.215069855894306)	(50, 38.13922423176425)	(51, 36.13159652006998)
Tconv_WT_3	(1, 34.6341174483101)	(2, 34.61378650153333)	(3, 34.58388492849792)	(4, 34.65421141961981)	(5, 34.620517723012405)	(6, 38.596200771464815)	(7, 38.90890103938902)	(8, 39.0701829295776)	(9, 39.156418603098864)	(10, 39.17373888623767)	(11, 39.162618586652506)	(12, 39.16419853778825)	(13, 39.16079606897698)	(14, 39.13566488520753)	(15, 39.15747015485379)	(16, 39.14271886515999)	(17, 39.16045965522847)	(18, 39.133917019091044)	(19, 39.123410584314556)	(20, 39.1317115805634)	(21, 39.139661986577416)	(22, 39.13437502822434)	(23, 39.13474096715208)	(24, 39.13129653757797)	(25, 39.12393390453256)	(26, 39.066641336771596)	(27, 39.07391272744477)	(28, 39.066872691989765)	(29, 39.073368744869775)	(30, 39.07480200087851)	(31, 39.03777785008021)	(32, 39.01844294461296)	(33, 38.97050875803338)	(34, 38.97424282361286)	(35, 38.96188001997776)	(36, 38.96035520956756)	(37, 38.912141562361555)	(38, 38.85725674594031)	(39, 38.85595484704612)	(40, 38.81721211384925)	(41, 38.801675382004454)	(42, 38.789288193572936)	(43, 38.75465789372046)	(44, 38.74689446487934)	(45, 38.65814127799376)	(46, 38.55728731155533)	(47, 38.50116046027269)	(48, 38.44061824860121)	(49, 38.37991975480295)	(50, 38.32023220555553)	(51, 36.300546419938804)
Treg_KO_1	(1, 34.64491248323439)	(2, 34.62334153296128)	(3, 34.593931268548445)	(4, 34.66369354645654)	(5, 34.62980883568639)	(6, 38.617183981529024)	(7, 38.946001143249624)	(8, 39.10420742709546)	(9, 39.19534243234747)	(10, 39.19567735303034)	(11, 39.21950728402147)	(12, 39.207504505320806)	(13, 39.17973830546243)	(14, 39.191863798922306)	(15, 39.20162001380401)	(16, 39.18381666211567)	(17, 39.19488689765987)	(18, 39.16629559482557)	(19, 39.16066770827123)	(20, 39.167229288130315)	(21, 39.17579696567154)	(22, 39.17395292093022)	(23, 39.17145058990434)	(24, 39.168753124596925)	(25, 39.16098445715838)	(26, 39.10238649710409)	(27, 39.11044234058051)	(28, 39.10299000125643)	(29, 39.108922518402295)	(30, 39.10883575992939)	(31, 39.07265930312321)	(32, 39.056065123718994)	(33, 39.011682746000346)	(34, 39.014989250837026)	(35, 39.00496101402821)	(36, 39.010917228303576)	(37, 38.968026900275746)	(38, 38.913745316212875)	(39, 38.918390542202246)	(40, 38.88442404250314)	(41, 38.87423704263322)	(42, 38.87300817129957)	(43, 38.840427388514335)	(44, 38.84131586874339)	(45, 38.76617450598545)	(46, 38.68750617215089)	(47, 38.65018754065291)	(48, 38.60965331484193)	(49, 38.559999541535454)	(50, 38.51012765372173)	(51, 36.47059184907347)
Treg_KO_2	(1, 34.64161447243645)	(2, 34.621370586574315)	(3, 34.59167503010731)	(4, 34.662392324945024)	(5, 34.62804286483987)	(6, 38.62791518881579)	(7, 38.92860905601429)	(8, 39.08223750999378)	(9, 39.16713252514017)	(10, 39.18736022369783)	(11, 39.17559419735519)	(12, 39.17504297139735)	(13, 39.171868544508335)	(14, 39.14445861399368)	(15, 39.165481420083275)	(16, 39.1492195199188)	(17, 39.168632442330825)	(18, 39.14096054679255)	(19, 39.130019505193076)	(20, 39.1368701998097)	(21, 39.14480876982323)	(22, 39.14112418528229)	(23, 39.13981772823555)	(24, 39.13809243805132)	(25, 39.13077421243697)	(26, 39.0725340275621)	(27, 39.08081203661397)	(28, 39.07416703458157)	(29, 39.079931679759056)	(30, 39.08263110695141)	(31, 39.04389015185199)	(32, 39.029196980819314)	(33, 38.985336811841236)	(34, 38.9889179281568)	(35, 38.979973146432506)	(36, 38.984647722723864)	(37, 38.94010450241245)	(38, 38.89029611693374)	(39, 38.892945976392845)	(40, 38.86154138078255)	(41, 38.85079674772182)	(42, 38.843862376025875)	(43, 38.81991053776389)	(44, 38.82121285439288)	(45, 38.74940241056649)	(46, 38.67221606113296)	(47, 38.636061062707775)	(48, 38.59207137578168)	(49, 38.543555334883955)	(50, 38.49344589035099)	(51, 36.453704663451944)
Treg_KO_3	(1, 34.626145023738175)	(2, 34.60403560925331)	(3, 34.57266858482269)	(4, 34.64517177843308)	(5, 34.61044463811718)	(6, 38.579881249427935)	(7, 38.901545667633705)	(8, 39.06413430275825)	(9, 39.154945619082866)	(10, 39.17359996497972)	(11, 39.16306507006045)	(12, 39.16529164328665)	(13, 39.16093623524075)	(14, 39.13374410525185)	(15, 39.1548587051253)	(16, 39.14107210922125)	(17, 39.157073640904336)	(18, 39.13087834655787)	(19, 39.12048371324798)	(20, 39.12786015557142)	(21, 39.136037223458544)	(22, 39.130281004080835)	(23, 39.131754836052835)	(24, 39.129155429466145)	(25, 39.1208644678627)	(26, 39.062979911147785)	(27, 39.07187083420755)	(28, 39.064304920313745)	(29, 39.070197292168174)	(30, 39.07327023545466)	(31, 39.03685230739284)	(32, 39.01828131643007)	(33, 38.97516786643759)	(34, 38.980486541943684)	(35, 38.971369796183524)	(36, 38.977440867952126)	(37, 38.93292304065306)	(38, 38.882334579502455)	(39, 38.88381737027666)	(40, 38.851514536380165)	(41, 38.8402936379644)	(42, 38.832886541466465)	(43, 38.80501818544841)	(44, 38.806418500287506)	(45, 38.7310932105943)	(46, 38.648458335186525)	(47, 38.607268433420465)	(48, 38.561246962526454)	(49, 38.51069341970597)	(50, 38.461456597448766)	(51, 36.430109166619275)
Treg_WT_1	(1, 34.6405358299432)	(2, 34.61676617593405)	(3, 34.58448668156775)	(4, 34.655457832235555)	(5, 34.62177302647406)	(6, 38.56790245371687)	(7, 38.934900250831745)	(8, 39.11110735653079)	(9, 39.20620059861908)	(10, 39.21164209506792)	(11, 39.23555024265629)	(12, 39.22530998907888)	(13, 39.19816736580875)	(14, 39.21255133113714)	(15, 39.22195063717638)	(16, 39.20636525898456)	(17, 39.218968186802044)	(18, 39.190918925679895)	(19, 39.183013494625015)	(20, 39.19222850191501)	(21, 39.202448417601815)	(22, 39.19798513249942)	(23, 39.19565654209944)	(24, 39.191277547108584)	(25, 39.186522536430424)	(26, 39.127927168359165)	(27, 39.13563615901645)	(28, 39.129435888619476)	(29, 39.133924133994064)	(30, 39.13817874434221)	(31, 39.10435479648765)	(32, 39.08568611037573)	(33, 39.03776249211378)	(34, 39.04282622105313)	(35, 39.03261421961768)	(36, 39.03431333992682)	(37, 38.98863228056644)	(38, 38.931817033728755)	(39, 38.93378931482731)	(40, 38.89514670351179)	(41, 38.876086950502724)	(42, 38.86349631874389)	(43, 38.82147319558503)	(44, 38.80218298059318)	(45, 38.70810499865323)	(46, 38.60874121244771)	(47, 38.54413186785734)	(48, 38.48249027520873)	(49, 38.41999616941591)	(50, 38.36034002679327)	(51, 36.36142018905181)
