Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Tconv_KO_1	(0.0, 2647.0)	(1.0, 2091.0)	(2.0, 1535.0)	(3.0, 2699.5)	(4.0, 3865.0)	(5.0, 4068.5)	(6.0, 4273.5)	(7.0, 4163.5)	(8.0, 4055.5)	(9.0, 5406.5)	(10.0, 6770.5)	(11.0, 9969.0)	(12.0, 13168.5)	(13.0, 25031.5)	(14.0, 36919.5)	(15.0, 49559.5)	(16.0, 62208.5)	(17.0, 61228.5)	(18.0, 60314.0)	(19.0, 60993.0)	(20.0, 61613.0)	(21.0, 60653.5)	(22.0, 59852.5)	(23.0, 57210.0)	(24.0, 54472.5)	(25.0, 53585.0)	(26.0, 57791.5)	(27.0, 63335.0)	(28.0, 70906.5)	(29.0, 78525.0)	(30.0, 83166.0)	(31.0, 87762.0)	(32.0, 101610.0)	(33.0, 115800.5)	(34.0, 128989.5)	(35.0, 142151.0)	(36.0, 179545.5)	(37.0, 217430.0)	(38.0, 253986.0)	(39.0, 289778.0)	(40.0, 321671.5)	(41.0, 353802.0)	(42.0, 360317.0)	(43.0, 367174.5)	(44.0, 394727.0)	(45.0, 422647.0)	(46.0, 473648.0)	(47.0, 524749.0)	(48.0, 570314.0)	(49.0, 615428.5)	(50.0, 598312.0)	(51.0, 579487.5)	(52.0, 537006.5)	(53.0, 492967.5)	(54.0, 522428.5)	(55.0, 553189.0)	(56.0, 603638.5)	(57.0, 654390.5)	(58.0, 565064.0)	(59.0, 476018.0)	(60.0, 472001.5)	(61.0, 467637.5)	(62.0, 393387.0)	(63.0, 318981.0)	(64.0, 278058.0)	(65.0, 237213.5)	(66.0, 201449.5)	(67.0, 166226.0)	(68.0, 160358.0)	(69.0, 154342.5)	(70.0, 136468.5)	(71.0, 118622.0)	(72.0, 105604.0)	(73.0, 92506.0)	(74.0, 70879.0)	(75.0, 34486.5)	(76.0, 19112.5)	(77.0, 23857.5)	(78.0, 28716.0)	(79.0, 27137.5)	(80.0, 25517.0)	(81.0, 19568.0)	(82.0, 13646.5)	(83.0, 10729.5)	(84.0, 7795.5)	(85.0, 7875.5)	(86.0, 7935.0)	(87.0, 4508.5)	(88.0, 1094.0)	(89.0, 644.0)	(90.0, 222.5)	(91.0, 123.0)	(92.0, 23.5)	(93.0, 11.5)	(94.0, 3.5)	(95.0, 1.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.0)
Tconv_KO_2	(0.0, 2015.0)	(1.0, 1503.0)	(2.0, 991.0)	(3.0, 2302.0)	(4.0, 3615.0)	(5.0, 3583.0)	(6.0, 3554.0)	(7.0, 3291.5)	(8.0, 3023.5)	(9.0, 4004.5)	(10.0, 4990.5)	(11.0, 7047.0)	(12.0, 9109.0)	(13.0, 15110.5)	(14.0, 21120.0)	(15.0, 29995.5)	(16.0, 38885.0)	(17.0, 38934.0)	(18.0, 39045.5)	(19.0, 40073.5)	(20.0, 41061.5)	(21.0, 40990.0)	(22.0, 40998.5)	(23.0, 41270.5)	(24.0, 41490.5)	(25.0, 43464.0)	(26.0, 53072.0)	(27.0, 61038.0)	(28.0, 71588.0)	(29.0, 82187.0)	(30.0, 90101.5)	(31.0, 97966.0)	(32.0, 115143.0)	(33.0, 132405.5)	(34.0, 147669.0)	(35.0, 163091.0)	(36.0, 199308.0)	(37.0, 235638.5)	(38.0, 272642.0)	(39.0, 309260.0)	(40.0, 344526.5)	(41.0, 379982.5)	(42.0, 394179.0)	(43.0, 408328.0)	(44.0, 436048.5)	(45.0, 464060.0)	(46.0, 512245.0)	(47.0, 560498.5)	(48.0, 601877.5)	(49.0, 643552.5)	(50.0, 634203.5)	(51.0, 623087.0)	(52.0, 596394.5)	(53.0, 569524.5)	(54.0, 589223.5)	(55.0, 609126.0)	(56.0, 639765.5)	(57.0, 670675.5)	(58.0, 592959.5)	(59.0, 515400.0)	(60.0, 500009.5)	(61.0, 484455.0)	(62.0, 411950.5)	(63.0, 339391.5)	(64.0, 294176.0)	(65.0, 248895.0)	(66.0, 210280.0)	(67.0, 172067.0)	(68.0, 159856.5)	(69.0, 147601.5)	(70.0, 126904.0)	(71.0, 106155.0)	(72.0, 93013.5)	(73.0, 79900.5)	(74.0, 62376.5)	(75.0, 32287.0)	(76.0, 19415.0)	(77.0, 22395.0)	(78.0, 25433.5)	(79.0, 23329.5)	(80.0, 21196.5)	(81.0, 16627.0)	(82.0, 12074.5)	(83.0, 9671.0)	(84.0, 7279.0)	(85.0, 6839.0)	(86.0, 6374.0)	(87.0, 4498.0)	(88.0, 2634.5)	(89.0, 1564.0)	(90.0, 504.0)	(91.0, 264.0)	(92.0, 25.5)	(93.0, 13.0)	(94.0, 3.0)	(95.0, 1.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Tconv_KO_3	(0.0, 1412.0)	(1.0, 1192.5)	(2.0, 973.0)	(3.0, 2095.0)	(4.0, 3217.0)	(5.0, 3377.0)	(6.0, 3540.5)	(7.0, 3425.0)	(8.0, 3306.5)	(9.0, 4460.0)	(10.0, 5615.0)	(11.0, 8081.5)	(12.0, 10555.0)	(13.0, 18639.0)	(14.0, 26738.5)	(15.0, 38705.0)	(16.0, 50673.0)	(17.0, 49998.5)	(18.0, 49390.5)	(19.0, 50799.5)	(20.0, 52167.5)	(21.0, 51787.5)	(22.0, 51477.0)	(23.0, 52586.5)	(24.0, 53718.0)	(25.0, 56939.5)	(26.0, 71191.0)	(27.0, 82601.5)	(28.0, 98341.5)	(29.0, 114153.5)	(30.0, 128161.5)	(31.0, 142096.5)	(32.0, 167178.0)	(33.0, 192431.0)	(34.0, 219477.5)	(35.0, 246616.5)	(36.0, 295020.0)	(37.0, 343481.5)	(38.0, 397486.5)	(39.0, 451186.0)	(40.0, 505571.5)	(41.0, 560103.5)	(42.0, 583129.5)	(43.0, 606200.5)	(44.0, 648009.0)	(45.0, 690044.5)	(46.0, 760821.0)	(47.0, 831482.5)	(48.0, 886053.0)	(49.0, 941039.5)	(50.0, 936035.5)	(51.0, 929449.0)	(52.0, 901760.5)	(53.0, 874019.5)	(54.0, 904662.5)	(55.0, 935155.0)	(56.0, 970831.5)	(57.0, 1006919.5)	(58.0, 900299.0)	(59.0, 793675.5)	(60.0, 761499.0)	(61.0, 729269.5)	(62.0, 625243.5)	(63.0, 521099.5)	(64.0, 451361.5)	(65.0, 381659.0)	(66.0, 321455.5)	(67.0, 261627.5)	(68.0, 238632.5)	(69.0, 215509.0)	(70.0, 185096.5)	(71.0, 154715.0)	(72.0, 134121.5)	(73.0, 113434.5)	(74.0, 88897.0)	(75.0, 46756.0)	(76.0, 28731.5)	(77.0, 31628.0)	(78.0, 34578.5)	(79.0, 31249.5)	(80.0, 27906.5)	(81.0, 21839.5)	(82.0, 15778.0)	(83.0, 12274.5)	(84.0, 8812.0)	(85.0, 8268.0)	(86.0, 7648.0)	(87.0, 4719.0)	(88.0, 1835.5)	(89.0, 1068.5)	(90.0, 309.0)	(91.0, 162.5)	(92.0, 18.0)	(93.0, 13.5)	(94.0, 9.0)	(95.0, 5.0)	(96.0, 1.0)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Tconv_WT_1	(0.0, 1755.0)	(1.0, 1443.0)	(2.0, 1131.0)	(3.0, 2300.5)	(4.0, 3470.5)	(5.0, 3710.0)	(6.0, 3951.0)	(7.0, 3706.0)	(8.0, 3469.0)	(9.0, 4701.5)	(10.0, 5933.0)	(11.0, 8622.5)	(12.0, 11322.0)	(13.0, 21404.5)	(14.0, 31519.0)	(15.0, 42079.5)	(16.0, 52621.0)	(17.0, 52125.0)	(18.0, 51717.0)	(19.0, 53354.0)	(20.0, 54923.0)	(21.0, 54392.0)	(22.0, 53998.0)	(23.0, 53092.5)	(24.0, 52157.0)	(25.0, 52738.5)	(26.0, 60013.0)	(27.0, 67204.5)	(28.0, 76765.0)	(29.0, 86393.5)	(30.0, 93174.5)	(31.0, 99845.0)	(32.0, 116575.0)	(33.0, 133629.0)	(34.0, 149538.5)	(35.0, 165450.0)	(36.0, 206754.5)	(37.0, 248427.0)	(38.0, 288744.0)	(39.0, 328564.0)	(40.0, 367905.0)	(41.0, 407314.0)	(42.0, 419250.0)	(43.0, 431358.0)	(44.0, 463836.0)	(45.0, 496627.0)	(46.0, 553900.0)	(47.0, 611474.0)	(48.0, 657501.5)	(49.0, 703403.5)	(50.0, 691352.5)	(51.0, 677228.0)	(52.0, 635098.5)	(53.0, 591964.0)	(54.0, 619673.0)	(55.0, 648209.5)	(56.0, 694358.0)	(57.0, 740886.5)	(58.0, 646568.0)	(59.0, 552487.0)	(60.0, 542369.5)	(61.0, 531886.0)	(62.0, 449847.5)	(63.0, 367704.0)	(64.0, 319882.0)	(65.0, 272205.5)	(66.0, 230922.5)	(67.0, 190063.0)	(68.0, 180567.5)	(69.0, 171014.5)	(70.0, 150410.0)	(71.0, 129762.5)	(72.0, 114478.0)	(73.0, 99150.0)	(74.0, 76243.5)	(75.0, 37910.5)	(76.0, 21913.5)	(77.0, 26113.5)	(78.0, 30418.5)	(79.0, 28299.0)	(80.0, 26151.5)	(81.0, 20164.0)	(82.0, 14189.0)	(83.0, 11323.0)	(84.0, 8456.5)	(85.0, 8392.0)	(86.0, 8317.0)	(87.0, 5239.0)	(88.0, 2165.0)	(89.0, 1280.5)	(90.0, 422.5)	(91.0, 220.5)	(92.0, 19.0)	(93.0, 9.5)	(94.0, 4.0)	(95.0, 2.5)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
Tconv_WT_2	(0.0, 2044.0)	(1.0, 1605.0)	(2.0, 1166.5)	(3.0, 2366.0)	(4.0, 3566.0)	(5.0, 3724.0)	(6.0, 3884.5)	(7.0, 3685.5)	(8.0, 3489.0)	(9.0, 4756.0)	(10.0, 6023.5)	(11.0, 8881.5)	(12.0, 11744.5)	(13.0, 22357.0)	(14.0, 33000.5)	(15.0, 44038.0)	(16.0, 55080.0)	(17.0, 55422.0)	(18.0, 55824.5)	(19.0, 56979.0)	(20.0, 58111.0)	(21.0, 57451.0)	(22.0, 56900.5)	(23.0, 55585.5)	(24.0, 54214.5)	(25.0, 54676.5)	(26.0, 61940.0)	(27.0, 69215.0)	(28.0, 79088.0)	(29.0, 89051.0)	(30.0, 96303.0)	(31.0, 103499.0)	(32.0, 120470.5)	(33.0, 137660.5)	(34.0, 153657.5)	(35.0, 169748.5)	(36.0, 210485.0)	(37.0, 251468.5)	(38.0, 291665.5)	(39.0, 331454.5)	(40.0, 368048.5)	(41.0, 404912.5)	(42.0, 419980.5)	(43.0, 435053.5)	(44.0, 467557.5)	(45.0, 500508.5)	(46.0, 556280.0)	(47.0, 612199.5)	(48.0, 660692.5)	(49.0, 709030.0)	(50.0, 698104.5)	(51.0, 685063.5)	(52.0, 648342.0)	(53.0, 610479.0)	(54.0, 634340.5)	(55.0, 659005.0)	(56.0, 697741.5)	(57.0, 737002.5)	(58.0, 647653.5)	(59.0, 558521.0)	(60.0, 546172.0)	(61.0, 533563.5)	(62.0, 454070.5)	(63.0, 374456.0)	(64.0, 325923.5)	(65.0, 277478.5)	(66.0, 235606.5)	(67.0, 194137.5)	(68.0, 182645.0)	(69.0, 171112.0)	(70.0, 149514.5)	(71.0, 127894.0)	(72.0, 113091.5)	(73.0, 98260.5)	(74.0, 76172.0)	(75.0, 38751.0)	(76.0, 22858.5)	(77.0, 26673.5)	(78.0, 30565.5)	(79.0, 28656.5)	(80.0, 26721.0)	(81.0, 20725.5)	(82.0, 14769.0)	(83.0, 11868.5)	(84.0, 8966.0)	(85.0, 9095.0)	(86.0, 9178.0)	(87.0, 6479.5)	(88.0, 3816.0)	(89.0, 2253.5)	(90.0, 699.5)	(91.0, 362.5)	(92.0, 37.5)	(93.0, 22.5)	(94.0, 9.0)	(95.0, 4.5)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
Tconv_WT_3	(0.0, 1971.0)	(1.0, 1505.5)	(2.0, 1040.0)	(3.0, 2513.5)	(4.0, 3988.0)	(5.0, 4171.5)	(6.0, 4359.0)	(7.0, 4010.0)	(8.0, 3656.0)	(9.0, 4951.5)	(10.0, 6252.0)	(11.0, 8706.5)	(12.0, 11165.0)	(13.0, 19269.0)	(14.0, 27389.0)	(15.0, 39496.5)	(16.0, 51608.5)	(17.0, 52454.0)	(18.0, 53330.5)	(19.0, 55153.5)	(20.0, 56934.5)	(21.0, 56597.5)	(22.0, 56366.0)	(23.0, 57160.5)	(24.0, 57916.0)	(25.0, 61473.0)	(26.0, 77504.0)	(27.0, 90292.5)	(28.0, 105489.0)	(29.0, 120717.0)	(30.0, 132248.5)	(31.0, 143669.0)	(32.0, 168455.5)	(33.0, 193381.5)	(34.0, 216184.5)	(35.0, 239096.5)	(36.0, 286624.5)	(37.0, 334236.5)	(38.0, 385941.0)	(39.0, 437404.5)	(40.0, 485713.5)	(41.0, 534069.5)	(42.0, 552707.5)	(43.0, 571331.0)	(44.0, 608566.0)	(45.0, 646123.0)	(46.0, 708438.0)	(47.0, 770755.5)	(48.0, 821995.5)	(49.0, 873548.0)	(50.0, 861165.0)	(51.0, 847028.0)	(52.0, 810795.5)	(53.0, 774716.0)	(54.0, 799743.5)	(55.0, 824813.0)	(56.0, 863883.0)	(57.0, 903169.5)	(58.0, 798847.5)	(59.0, 694669.5)	(60.0, 669757.0)	(61.0, 644808.0)	(62.0, 549186.0)	(63.0, 453448.5)	(64.0, 391746.0)	(65.0, 330048.0)	(66.0, 278361.5)	(67.0, 227016.5)	(68.0, 210086.5)	(69.0, 193040.0)	(70.0, 166326.0)	(71.0, 139634.0)	(72.0, 122514.5)	(73.0, 105317.5)	(74.0, 82147.5)	(75.0, 42217.5)	(76.0, 25142.0)	(77.0, 28662.5)	(78.0, 32222.5)	(79.0, 29627.5)	(80.0, 27022.0)	(81.0, 21011.0)	(82.0, 15011.0)	(83.0, 12034.5)	(84.0, 9076.0)	(85.0, 8611.0)	(86.0, 8112.5)	(87.0, 5483.0)	(88.0, 2869.0)	(89.0, 1713.5)	(90.0, 566.5)	(91.0, 292.5)	(92.0, 20.0)	(93.0, 15.5)	(94.0, 10.5)	(95.0, 6.0)	(96.0, 2.0)	(97.0, 2.0)	(98.0, 1.5)	(99.0, 1.0)	(100.0, 1.0)
Treg_KO_1	(0.0, 2354.0)	(1.0, 1660.5)	(2.0, 967.0)	(3.0, 2398.0)	(4.0, 3830.5)	(5.0, 3639.0)	(6.0, 3448.0)	(7.0, 3094.5)	(8.0, 2740.0)	(9.0, 3412.0)	(10.0, 4086.0)	(11.0, 5722.0)	(12.0, 7364.5)	(13.0, 12930.5)	(14.0, 18510.5)	(15.0, 24414.0)	(16.0, 30320.0)	(17.0, 29965.0)	(18.0, 29647.0)	(19.0, 30373.0)	(20.0, 31089.0)	(21.0, 31467.0)	(22.0, 31921.0)	(23.0, 33203.0)	(24.0, 34433.0)	(25.0, 36976.5)	(26.0, 47086.0)	(27.0, 54996.5)	(28.0, 65696.0)	(29.0, 76444.0)	(30.0, 86056.0)	(31.0, 95583.5)	(32.0, 112169.5)	(33.0, 128952.5)	(34.0, 147179.0)	(35.0, 165359.5)	(36.0, 201370.0)	(37.0, 237650.5)	(38.0, 277937.5)	(39.0, 317930.0)	(40.0, 357719.0)	(41.0, 397464.0)	(42.0, 413327.0)	(43.0, 429205.5)	(44.0, 462728.5)	(45.0, 496426.0)	(46.0, 547657.5)	(47.0, 598904.5)	(48.0, 638240.5)	(49.0, 677967.0)	(50.0, 675412.0)	(51.0, 671606.0)	(52.0, 646487.5)	(53.0, 621043.5)	(54.0, 641775.5)	(55.0, 662413.5)	(56.0, 691030.5)	(57.0, 719888.0)	(58.0, 641564.0)	(59.0, 563351.5)	(60.0, 542452.0)	(61.0, 521373.0)	(62.0, 445634.5)	(63.0, 369899.0)	(64.0, 318288.0)	(65.0, 266661.0)	(66.0, 225411.5)	(67.0, 184488.5)	(68.0, 171478.5)	(69.0, 158416.0)	(70.0, 135888.0)	(71.0, 113411.0)	(72.0, 98528.0)	(73.0, 83626.0)	(74.0, 65997.0)	(75.0, 34847.5)	(76.0, 20960.5)	(77.0, 23577.5)	(78.0, 26254.0)	(79.0, 23937.0)	(80.0, 21603.0)	(81.0, 16839.0)	(82.0, 12092.0)	(83.0, 9695.0)	(84.0, 7316.5)	(85.0, 7121.0)	(86.0, 6889.5)	(87.0, 4758.0)	(88.0, 2639.5)	(89.0, 1565.5)	(90.0, 500.0)	(91.0, 261.5)	(92.0, 29.5)	(93.0, 18.5)	(94.0, 9.0)	(95.0, 5.0)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 1.0)
Treg_KO_2	(0.0, 1783.0)	(1.0, 1322.0)	(2.0, 861.0)	(3.0, 2093.0)	(4.0, 3325.5)	(5.0, 3174.5)	(6.0, 3025.5)	(7.0, 2724.5)	(8.0, 2421.5)	(9.0, 3099.0)	(10.0, 3778.5)	(11.0, 5358.5)	(12.0, 6937.5)	(13.0, 11485.5)	(14.0, 16042.5)	(15.0, 23259.5)	(16.0, 30482.0)	(17.0, 30505.0)	(18.0, 30556.5)	(19.0, 31610.0)	(20.0, 32659.0)	(21.0, 32932.0)	(22.0, 33235.5)	(23.0, 34370.0)	(24.0, 35486.5)	(25.0, 38279.0)	(26.0, 49629.0)	(27.0, 58414.0)	(28.0, 69353.0)	(29.0, 80341.0)	(30.0, 90119.5)	(31.0, 99800.0)	(32.0, 117008.5)	(33.0, 134319.5)	(34.0, 152432.5)	(35.0, 170618.0)	(36.0, 207610.0)	(37.0, 244600.0)	(38.0, 286069.5)	(39.0, 327381.5)	(40.0, 369772.5)	(41.0, 412283.5)	(42.0, 428379.0)	(43.0, 444423.5)	(44.0, 477335.5)	(45.0, 510460.5)	(46.0, 565996.0)	(47.0, 621670.5)	(48.0, 665113.5)	(49.0, 708751.0)	(50.0, 703586.5)	(51.0, 697119.0)	(52.0, 670621.5)	(53.0, 644176.0)	(54.0, 667647.5)	(55.0, 691094.5)	(56.0, 724770.0)	(57.0, 758709.0)	(58.0, 672458.5)	(59.0, 586274.0)	(60.0, 567075.0)	(61.0, 547766.5)	(62.0, 466568.0)	(63.0, 385280.0)	(64.0, 331844.0)	(65.0, 278443.0)	(66.0, 234938.5)	(67.0, 191684.5)	(68.0, 179235.0)	(69.0, 166698.5)	(70.0, 142881.5)	(71.0, 119108.0)	(72.0, 103609.0)	(73.0, 88021.5)	(74.0, 68805.5)	(75.0, 35669.0)	(76.0, 21482.0)	(77.0, 24623.5)	(78.0, 27776.0)	(79.0, 25534.0)	(80.0, 23292.5)	(81.0, 18189.0)	(82.0, 13099.0)	(83.0, 10492.5)	(84.0, 7896.5)	(85.0, 7647.0)	(86.0, 7374.0)	(87.0, 5469.0)	(88.0, 3574.5)	(89.0, 2156.5)	(90.0, 748.5)	(91.0, 388.5)	(92.0, 24.5)	(93.0, 11.0)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 1.0)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.0)
Treg_KO_3	(0.0, 1814.0)	(1.0, 1344.5)	(2.0, 875.5)	(3.0, 2192.0)	(4.0, 3510.0)	(5.0, 3591.0)	(6.0, 3669.5)	(7.0, 3352.5)	(8.0, 3039.5)	(9.0, 4075.5)	(10.0, 5114.5)	(11.0, 7273.5)	(12.0, 9428.5)	(13.0, 16555.5)	(14.0, 23704.5)	(15.0, 33194.0)	(16.0, 42683.5)	(17.0, 43278.5)	(18.0, 43933.5)	(19.0, 45658.0)	(20.0, 47323.5)	(21.0, 47555.5)	(22.0, 47892.5)	(23.0, 50029.0)	(24.0, 52136.5)	(25.0, 56596.5)	(26.0, 73498.5)	(27.0, 86322.5)	(28.0, 102089.0)	(29.0, 117838.0)	(30.0, 131353.0)	(31.0, 144781.5)	(32.0, 169090.0)	(33.0, 193557.5)	(34.0, 219101.5)	(35.0, 244797.5)	(36.0, 295744.5)	(37.0, 346671.0)	(38.0, 401275.5)	(39.0, 455660.0)	(40.0, 509590.5)	(41.0, 563676.0)	(42.0, 585874.5)	(43.0, 608045.5)	(44.0, 650853.0)	(45.0, 693967.0)	(46.0, 765743.0)	(47.0, 837438.5)	(48.0, 892187.0)	(49.0, 947390.0)	(50.0, 937724.5)	(51.0, 926122.5)	(52.0, 895327.0)	(53.0, 864707.0)	(54.0, 893368.0)	(55.0, 921919.5)	(56.0, 959931.5)	(57.0, 998466.0)	(58.0, 890825.0)	(59.0, 783114.5)	(60.0, 753247.5)	(61.0, 723295.5)	(62.0, 617849.5)	(63.0, 512254.5)	(64.0, 442069.5)	(65.0, 371992.0)	(66.0, 313815.0)	(67.0, 255949.0)	(68.0, 236601.5)	(69.0, 217154.0)	(70.0, 185247.0)	(71.0, 153327.0)	(72.0, 132666.0)	(73.0, 112003.5)	(74.0, 88215.5)	(75.0, 46577.0)	(76.0, 28371.5)	(77.0, 31404.0)	(78.0, 34475.5)	(79.0, 31449.0)	(80.0, 28415.5)	(81.0, 22146.0)	(82.0, 15894.5)	(83.0, 12496.5)	(84.0, 9115.0)	(85.0, 8656.0)	(86.0, 8173.0)	(87.0, 5363.5)	(88.0, 2561.5)	(89.0, 1518.0)	(90.0, 482.5)	(91.0, 248.0)	(92.0, 17.0)	(93.0, 11.0)	(94.0, 5.5)	(95.0, 2.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Treg_WT_1	(0.0, 2470.0)	(1.0, 1948.0)	(2.0, 1426.5)	(3.0, 2770.0)	(4.0, 4116.5)	(5.0, 4335.5)	(6.0, 4551.0)	(7.0, 4143.0)	(8.0, 3740.5)	(9.0, 5075.5)	(10.0, 6407.0)	(11.0, 9087.0)	(12.0, 11781.0)	(13.0, 21396.5)	(14.0, 31035.5)	(15.0, 41822.0)	(16.0, 52593.5)	(17.0, 50549.0)	(18.0, 48609.5)	(19.0, 49164.0)	(20.0, 49645.0)	(21.0, 49436.5)	(22.0, 49375.5)	(23.0, 49677.0)	(24.0, 49951.5)	(25.0, 51988.0)	(26.0, 62035.5)	(27.0, 70604.5)	(28.0, 82445.5)	(29.0, 94357.5)	(30.0, 103669.0)	(31.0, 112819.0)	(32.0, 130996.5)	(33.0, 149490.0)	(34.0, 167543.5)	(35.0, 185608.5)	(36.0, 226726.0)	(37.0, 268135.0)	(38.0, 309404.5)	(39.0, 350201.5)	(40.0, 390615.0)	(41.0, 431123.0)	(42.0, 448150.0)	(43.0, 465241.5)	(44.0, 500562.5)	(45.0, 536200.5)	(46.0, 592011.0)	(47.0, 647746.5)	(48.0, 692928.0)	(49.0, 738383.0)	(50.0, 734509.0)	(51.0, 729010.0)	(52.0, 701357.0)	(53.0, 673035.5)	(54.0, 698101.5)	(55.0, 723391.0)	(56.0, 755728.5)	(57.0, 788370.5)	(58.0, 703013.0)	(59.0, 617841.5)	(60.0, 596065.0)	(61.0, 573843.0)	(62.0, 491375.0)	(63.0, 408942.0)	(64.0, 353524.0)	(65.0, 298116.0)	(66.0, 252563.5)	(67.0, 207604.5)	(68.0, 192220.5)	(69.0, 176695.5)	(70.0, 153090.5)	(71.0, 129466.5)	(72.0, 112671.5)	(73.0, 95878.0)	(74.0, 74792.5)	(75.0, 38947.5)	(76.0, 23642.5)	(77.0, 26554.0)	(78.0, 29553.5)	(79.0, 27133.0)	(80.0, 24707.0)	(81.0, 18981.5)	(82.0, 13252.0)	(83.0, 10306.0)	(84.0, 7383.0)	(85.0, 7112.5)	(86.0, 6812.0)	(87.0, 4217.5)	(88.0, 1637.5)	(89.0, 960.0)	(90.0, 307.5)	(91.0, 166.0)	(92.0, 23.0)	(93.0, 12.5)	(94.0, 3.5)	(95.0, 1.5)	(96.0, 1.0)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
