Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
Tconv_KO_1	(13.0, 2.0)	(14.0, 9.0)	(15.0, 10.0)	(16.0, 25.0)	(17.0, 67.0)	(18.0, 98.0)	(19.0, 117.0)	(20.0, 245.0)	(21.0, 376.0)	(22.0, 652.0)	(23.0, 1101.0)	(24.0, 3022.0)	(25.0, 5516.0)	(26.0, 7711.0)	(27.0, 10646.0)	(28.0, 15901.0)	(29.0, 21121.0)	(30.0, 29794.0)	(31.0, 42598.0)	(32.0, 55597.0)	(33.0, 76546.0)	(34.0, 109758.0)	(35.0, 148665.0)	(36.0, 243600.0)	(37.0, 544239.0)	(38.0, 2646951.0)	(39.0, 4104400.0)	
Tconv_KO_2	(13.0, 2.0)	(14.0, 4.0)	(15.0, 5.0)	(16.0, 15.0)	(17.0, 31.0)	(18.0, 78.0)	(19.0, 112.0)	(20.0, 209.0)	(21.0, 347.0)	(22.0, 575.0)	(23.0, 1084.0)	(24.0, 2553.0)	(25.0, 4758.0)	(26.0, 6870.0)	(27.0, 10096.0)	(28.0, 15246.0)	(29.0, 20609.0)	(30.0, 29256.0)	(31.0, 40794.0)	(32.0, 54773.0)	(33.0, 75400.0)	(34.0, 106426.0)	(35.0, 150303.0)	(36.0, 250671.0)	(37.0, 579197.0)	(38.0, 2829365.0)	(39.0, 4303593.0)	
Tconv_KO_3	(13.0, 2.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 27.0)	(17.0, 38.0)	(18.0, 83.0)	(19.0, 153.0)	(20.0, 272.0)	(21.0, 424.0)	(22.0, 788.0)	(23.0, 1246.0)	(24.0, 2933.0)	(25.0, 5665.0)	(26.0, 8821.0)	(27.0, 13178.0)	(28.0, 20359.0)	(29.0, 28573.0)	(30.0, 39712.0)	(31.0, 55543.0)	(32.0, 73854.0)	(33.0, 101822.0)	(34.0, 143816.0)	(35.0, 202436.0)	(36.0, 342243.0)	(37.0, 817688.0)	(38.0, 4193120.0)	(39.0, 6569894.0)	
Tconv_WT_1	(14.0, 5.0)	(15.0, 13.0)	(16.0, 22.0)	(17.0, 42.0)	(18.0, 84.0)	(19.0, 128.0)	(20.0, 228.0)	(21.0, 404.0)	(22.0, 649.0)	(23.0, 1131.0)	(24.0, 3016.0)	(25.0, 5896.0)	(26.0, 8167.0)	(27.0, 11401.0)	(28.0, 16947.0)	(29.0, 22565.0)	(30.0, 31710.0)	(31.0, 44920.0)	(32.0, 59192.0)	(33.0, 81142.0)	(34.0, 115682.0)	(35.0, 157603.0)	(36.0, 262587.0)	(37.0, 605776.0)	(38.0, 3022219.0)	(39.0, 4757034.0)		
Tconv_WT_2	(12.0, 1.0)	(13.0, 1.0)	(14.0, 4.0)	(15.0, 6.0)	(16.0, 14.0)	(17.0, 58.0)	(18.0, 91.0)	(19.0, 155.0)	(20.0, 262.0)	(21.0, 334.0)	(22.0, 652.0)	(23.0, 1256.0)	(24.0, 3115.0)	(25.0, 6036.0)	(26.0, 8507.0)	(27.0, 11647.0)	(28.0, 17170.0)	(29.0, 22987.0)	(30.0, 32454.0)	(31.0, 46490.0)	(32.0, 60652.0)	(33.0, 83263.0)	(34.0, 118394.0)	(35.0, 161934.0)	(36.0, 268395.0)	(37.0, 614629.0)	(38.0, 3029864.0)	(39.0, 4827430.0)
Tconv_WT_3	(13.0, 1.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 22.0)	(17.0, 40.0)	(18.0, 109.0)	(19.0, 156.0)	(20.0, 260.0)	(21.0, 458.0)	(22.0, 803.0)	(23.0, 1435.0)	(24.0, 3353.0)	(25.0, 6425.0)	(26.0, 9545.0)	(27.0, 13764.0)	(28.0, 20497.0)	(29.0, 28148.0)	(30.0, 40136.0)	(31.0, 56117.0)	(32.0, 75358.0)	(33.0, 104667.0)	(34.0, 147257.0)	(35.0, 207645.0)	(36.0, 346073.0)	(37.0, 793831.0)	(38.0, 3913349.0)	(39.0, 5856220.0)	
Treg_KO_1	(15.0, 6.0)	(16.0, 14.0)	(17.0, 26.0)	(18.0, 61.0)	(19.0, 108.0)	(20.0, 190.0)	(21.0, 319.0)	(22.0, 550.0)	(23.0, 1004.0)	(24.0, 2347.0)	(25.0, 4445.0)	(26.0, 6610.0)	(27.0, 9702.0)	(28.0, 14648.0)	(29.0, 20131.0)	(30.0, 28541.0)	(31.0, 39680.0)	(32.0, 53214.0)	(33.0, 72240.0)	(34.0, 100526.0)	(35.0, 141126.0)	(36.0, 240176.0)	(37.0, 581889.0)	(38.0, 2939247.0)	(39.0, 4682630.0)			
Treg_KO_2	(13.0, 1.0)	(14.0, 0.0)	(15.0, 8.0)	(16.0, 9.0)	(17.0, 38.0)	(18.0, 69.0)	(19.0, 95.0)	(20.0, 201.0)	(21.0, 370.0)	(22.0, 574.0)	(23.0, 1047.0)	(24.0, 2352.0)	(25.0, 4612.0)	(26.0, 6948.0)	(27.0, 10141.0)	(28.0, 15547.0)	(29.0, 21334.0)	(30.0, 29856.0)	(31.0, 42003.0)	(32.0, 55941.0)	(33.0, 76927.0)	(34.0, 106545.0)	(35.0, 152261.0)	(36.0, 261079.0)	(37.0, 633348.0)	(38.0, 3174663.0)	(39.0, 4732329.0)	
Treg_KO_3	(13.0, 2.0)	(14.0, 2.0)	(15.0, 4.0)	(16.0, 15.0)	(17.0, 34.0)	(18.0, 88.0)	(19.0, 167.0)	(20.0, 307.0)	(21.0, 511.0)	(22.0, 772.0)	(23.0, 1489.0)	(24.0, 3168.0)	(25.0, 5984.0)	(26.0, 9321.0)	(27.0, 13749.0)	(28.0, 21159.0)	(29.0, 29487.0)	(30.0, 41586.0)	(31.0, 57919.0)	(32.0, 77218.0)	(33.0, 105633.0)	(34.0, 148055.0)	(35.0, 211296.0)	(36.0, 361200.0)	(37.0, 868522.0)	(38.0, 4299327.0)	(39.0, 6307135.0)	
Treg_WT_1	(14.0, 7.0)	(15.0, 3.0)	(16.0, 15.0)	(17.0, 34.0)	(18.0, 72.0)	(19.0, 127.0)	(20.0, 193.0)	(21.0, 372.0)	(22.0, 675.0)	(23.0, 1194.0)	(24.0, 2759.0)	(25.0, 5057.0)	(26.0, 7559.0)	(27.0, 10860.0)	(28.0, 16732.0)	(29.0, 22985.0)	(30.0, 32174.0)	(31.0, 45694.0)	(32.0, 60430.0)	(33.0, 82648.0)	(34.0, 117052.0)	(35.0, 164100.0)	(36.0, 272087.0)	(37.0, 623865.0)	(38.0, 3170389.0)	(39.0, 5276734.0)		
