Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Tconv_KO_1	(1.0, 24.239154496490247)	(2.0, 7.98962128271379)	(3.0, 3.9605166682141992)	(4.0, 2.5225150061101496)	(5.0, 1.760214585699122)	(6.0, 1.362294491717552)	(7.0, 1.0973057175379555)	(8.0, 0.9612812717753004)	(9.0, 0.8358182208485488)	('>10', 12.538540064939617)	('>50', 5.042184211223036)	('>100', 8.240731224614084)	('>500', 3.8001443206033456)	('>1k', 15.072216052736993)	('>5k', 6.145253281732345)	('>10k+', 4.432209103043705)
Tconv_KO_2	(1.0, 26.814657919116463)	(2.0, 9.10142415374606)	(3.0, 4.56349560010247)	(4.0, 2.856096090678719)	(5.0, 2.0323676476009354)	(6.0, 1.5711959908259119)	(7.0, 1.1745941056474507)	(8.0, 1.041407994652823)	(9.0, 0.9072156862972981)	('>10', 13.296482844813607)	('>50', 5.6712470332528895)	('>100', 10.059342225578115)	('>500', 3.7277405069941825)	('>1k', 11.402977646944572)	('>5k', 4.5349285054538555)	('>10k+', 1.2448260482946607)
Tconv_KO_3	(1.0, 22.673382555047098)	(2.0, 8.91737587524916)	(3.0, 4.95801038898084)	(4.0, 3.269831216135706)	(5.0, 2.264361999228457)	(6.0, 1.9209048317463382)	(7.0, 1.551663171604896)	(8.0, 1.2804943276013054)	(9.0, 1.1098384645485162)	('>10', 14.837859348717858)	('>50', 5.993437693582727)	('>100', 11.994171279845302)	('>500', 3.4424621890631766)	('>1k', 9.029241354870598)	('>5k', 4.153409870522194)	('>10k+', 2.6035554332558357)
Tconv_WT_1	(1.0, 26.017594715625464)	(2.0, 8.488547528796772)	(3.0, 4.264985690504378)	(4.0, 2.6258863057923763)	(5.0, 1.8953928781988236)	(6.0, 1.425045392614391)	(7.0, 1.1478748411382966)	(8.0, 0.9944794061796949)	(9.0, 0.8772873672412695)	('>10', 12.534783264609764)	('>50', 5.201153761686155)	('>100', 8.749778558367632)	('>500', 3.354176742085447)	('>1k', 13.006712900030081)	('>5k', 5.527219681462864)	('>10k+', 3.8890809656665914)
Tconv_WT_2	(1.0, 26.187827182737056)	(2.0, 8.843200320335566)	(3.0, 4.439961223090488)	(4.0, 2.7391049992807086)	(5.0, 1.9008575012338078)	(6.0, 1.4316708310914152)	(7.0, 1.2027855346380507)	(8.0, 0.9906868856809579)	(9.0, 0.8187891947471561)	('>10', 12.477276788687194)	('>50', 5.4183864118246845)	('>100', 9.4350717921433)	('>500', 3.5887608375992746)	('>1k', 12.346131470430025)	('>5k', 5.35202040202609)	('>10k+', 2.8274686244541947)
Tconv_WT_3	(1.0, 24.837092345356634)	(2.0, 8.986533461799551)	(3.0, 4.584331964155148)	(4.0, 2.9397336802534615)	(5.0, 2.151452043361419)	(6.0, 1.632605421805815)	(7.0, 1.3368318699644184)	(8.0, 1.1055299272117443)	(9.0, 0.9385350269215139)	('>10', 13.164164775610802)	('>50', 5.623378108465067)	('>100', 11.216152317074748)	('>500', 3.480989780853921)	('>1k', 10.174338264539223)	('>5k', 5.02140665222544)	('>10k+', 2.806924360401161)
Treg_KO_1	(1.0, 28.33971158070988)	(2.0, 9.244157156059547)	(3.0, 4.709966648606981)	(4.0, 3.0008194069794643)	(5.0, 2.16103723380098)	(6.0, 1.646517179594253)	(7.0, 1.360700724205191)	(8.0, 1.1280882689565392)	(9.0, 1.0278165994169448)	('>10', 13.688778501013383)	('>50', 5.277436230268216)	('>100', 9.388306428529415)	('>500', 3.2989273127217342)	('>1k', 10.430812211431114)	('>5k', 4.182323816299285)	('>10k+', 1.114600701407146)
Treg_KO_2	(1.0, 26.70115342964626)	(2.0, 9.522756527236615)	(3.0, 4.819477936436023)	(4.0, 3.0128484347478564)	(5.0, 2.142118315777829)	(6.0, 1.6495375987328562)	(7.0, 1.3711441309287502)	(8.0, 1.1398723134069746)	(9.0, 0.9429762966150683)	('>10', 13.261968420493083)	('>50', 5.325231852960163)	('>100', 9.653356464067237)	('>500', 3.418816579103395)	('>1k', 10.829526351730614)	('>5k', 4.132735243483198)	('>10k+', 2.0764801046340233)
Treg_KO_3	(1.0, 25.034150587432812)	(2.0, 9.563192311162265)	(3.0, 5.174802294989389)	(4.0, 3.3056848081286776)	(5.0, 2.3456941237770934)	(6.0, 1.8987820835532094)	(7.0, 1.5081249163994555)	(8.0, 1.2311867702779038)	(9.0, 1.0743922478853825)	('>10', 13.710143532958657)	('>50', 5.432764477318746)	('>100', 10.123094229051333)	('>500', 3.0913050445848897)	('>1k', 9.350237142112318)	('>5k', 4.499601492509112)	('>10k+', 2.6568439378588273)
Treg_WT_1	(1.0, 28.12022766082999)	(2.0, 9.779659014169365)	(3.0, 4.905124704519973)	(4.0, 3.155407471006337)	(5.0, 2.279882484683839)	(6.0, 1.7463847753946815)	(7.0, 1.397850486864706)	(8.0, 1.112178878808574)	(9.0, 1.0102979964653158)	('>10', 13.255739984182622)	('>50', 5.109068716618443)	('>100', 8.277508768495304)	('>500', 3.1769104028944666)	('>1k', 10.806476243477526)	('>5k', 4.0809775321113815)	('>10k+', 1.786304879477501)
Treg_WT_2	(1.0, 28.663077462562104)	(2.0, 10.007517385245267)	(3.0, 5.124707048821932)	(4.0, 3.0881305235768672)	(5.0, 2.152312009004972)	(6.0, 1.627878007568122)	(7.0, 1.2223245089676034)	(8.0, 1.02007938715747)	(9.0, 0.9113267702234263)	('>10', 13.115291118986164)	('>50', 5.158144293130792)	('>100', 8.755926416086128)	('>500', 3.713656397155634)	('>1k', 11.143364791248114)	('>5k', 3.2907436477199314)	('>10k+', 1.0055202325454262)
Treg_WT_3	(1.0, 26.829983468708935)	(2.0, 8.683370263814755)	(3.0, 4.180618916265628)	(4.0, 2.649505578793842)	(5.0, 1.9272318003810556)	(6.0, 1.5182487410878516)	(7.0, 1.191361723743793)	(8.0, 1.06011231625865)	(9.0, 0.9060791647585421)	('>10', 12.78521254654075)	('>50', 5.186191554960047)	('>100', 10.355660052139143)	('>500', 4.032043352597105)	('>1k', 11.45304099241516)	('>5k', 4.809478528485944)	('>10k+', 2.4318609990488746)
