Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
Tconv_KO_1	(15, 4.0)	(16, 9.0)	(17, 9.0)	(18, 9.0)	(19, 10.0)	(20, 36.0)	(21, 58.0)	(22, 270.0)	(23, 249.0)	(24, 145.0)	(25, 258.0)	(26, 449.0)	(27, 1688.0)	(28, 2715.0)	(29, 4319.0)	(30, 10674.0)	(31, 10094.0)	(32, 9513.0)	(33, 10195.0)	(34, 10624.0)	(35, 12253.0)	(36, 16323.0)	(37, 20849.0)	(38, 23904.0)	(39, 24398.0)	(40, 22738.0)	(41, 21054.0)	(42, 21494.0)	(43, 26614.0)	(44, 22271.0)	(45, 22358.0)	(46, 27348.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 7745835.0)
Tconv_KO_2	(15, 5.0)	(16, 3.0)	(17, 2.0)	(18, 9.0)	(19, 3.0)	(20, 33.0)	(21, 35.0)	(22, 126.0)	(23, 129.0)	(24, 72.0)	(25, 144.0)	(26, 245.0)	(27, 843.0)	(28, 1298.0)	(29, 2052.0)	(30, 5439.0)	(31, 5368.0)	(32, 5082.0)	(33, 5449.0)	(34, 5529.0)	(35, 6960.0)	(36, 9344.0)	(37, 11818.0)	(38, 13571.0)	(39, 14444.0)	(40, 13884.0)	(41, 13548.0)	(42, 14013.0)	(43, 18719.0)	(44, 14239.0)	(45, 15091.0)	(46, 21865.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 8283010.0)
Tconv_KO_3	(15, 2.0)	(16, 3.0)	(17, 3.0)	(18, 1.0)	(19, 5.0)	(20, 14.0)	(21, 15.0)	(22, 75.0)	(23, 75.0)	(24, 34.0)	(25, 93.0)	(26, 146.0)	(27, 647.0)	(28, 1069.0)	(29, 1798.0)	(30, 5260.0)	(31, 5162.0)	(32, 4786.0)	(33, 5211.0)	(34, 5446.0)	(35, 6764.0)	(36, 9664.0)	(37, 12224.0)	(38, 14329.0)	(39, 14698.0)	(40, 14360.0)	(41, 14403.0)	(42, 15953.0)	(43, 22674.0)	(44, 15032.0)	(45, 17270.0)	(46, 27958.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 12407523.0)
Tconv_WT_1	(15, 2.0)	(16, 3.0)	(17, 3.0)	(18, 8.0)	(19, 14.0)	(20, 40.0)	(21, 49.0)	(22, 182.0)	(23, 193.0)	(24, 129.0)	(25, 259.0)	(26, 414.0)	(27, 1427.0)	(28, 2048.0)	(29, 3626.0)	(30, 9057.0)	(31, 8950.0)	(32, 8284.0)	(33, 8931.0)	(34, 9084.0)	(35, 11104.0)	(36, 14792.0)	(37, 19177.0)	(38, 22463.0)	(39, 23196.0)	(40, 21605.0)	(41, 20400.0)	(42, 21077.0)	(43, 26277.0)	(44, 21733.0)	(45, 21972.0)	(46, 28853.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 8903211.0)
Tconv_WT_2	(15, 5.0)	(16, 5.0)	(17, 6.0)	(18, 7.0)	(19, 14.0)	(20, 45.0)	(21, 52.0)	(22, 191.0)	(23, 206.0)	(24, 125.0)	(25, 306.0)	(26, 458.0)	(27, 1570.0)	(28, 2286.0)	(29, 3794.0)	(30, 9796.0)	(31, 9608.0)	(32, 9020.0)	(33, 9600.0)	(34, 10142.0)	(35, 12046.0)	(36, 15790.0)	(37, 20222.0)	(38, 24069.0)	(39, 25060.0)	(40, 23170.0)	(41, 21947.0)	(42, 22330.0)	(43, 27867.0)	(44, 22866.0)	(45, 23353.0)	(46, 30124.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 8989721.0)
Tconv_WT_3	(15, 2.0)	(16, 4.0)	(17, 8.0)	(18, 6.0)	(19, 4.0)	(20, 19.0)	(21, 28.0)	(22, 91.0)	(23, 97.0)	(24, 51.0)	(25, 104.0)	(26, 187.0)	(27, 614.0)	(28, 942.0)	(29, 1624.0)	(30, 4029.0)	(31, 4265.0)	(32, 3917.0)	(33, 4297.0)	(34, 4489.0)	(35, 5377.0)	(36, 7243.0)	(37, 9314.0)	(38, 10640.0)	(39, 11568.0)	(40, 11210.0)	(41, 11413.0)	(42, 12348.0)	(43, 18856.0)	(44, 11840.0)	(45, 13914.0)	(46, 23530.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 11453645.0)
Treg_KO_1	(15, 1.0)	(16, 3.0)	(17, 7.0)	(18, 6.0)	(19, 10.0)	(20, 28.0)	(21, 31.0)	(22, 98.0)	(23, 93.0)	(24, 54.0)	(25, 98.0)	(26, 210.0)	(27, 768.0)	(28, 1230.0)	(29, 2055.0)	(30, 5613.0)	(31, 5556.0)	(32, 5289.0)	(33, 5493.0)	(34, 5737.0)	(35, 7172.0)	(36, 10155.0)	(37, 13092.0)	(38, 14864.0)	(39, 15550.0)	(40, 14793.0)	(41, 14589.0)	(42, 15569.0)	(43, 20451.0)	(44, 15385.0)	(45, 16454.0)	(46, 24201.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 8724775.0)
Treg_KO_2	(15, 1.0)	(16, 3.0)	(17, 3.0)	(18, 6.0)	(19, 9.0)	(20, 15.0)	(21, 30.0)	(22, 72.0)	(23, 74.0)	(24, 38.0)	(25, 94.0)	(26, 147.0)	(27, 468.0)	(28, 673.0)	(29, 1206.0)	(30, 3026.0)	(31, 3216.0)	(32, 2962.0)	(33, 3195.0)	(34, 3310.0)	(35, 4225.0)	(36, 5644.0)	(37, 7302.0)	(38, 8360.0)	(39, 8899.0)	(40, 8585.0)	(41, 8755.0)	(42, 9832.0)	(43, 14822.0)	(44, 9602.0)	(45, 10887.0)	(46, 18682.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 9194155.0)
Treg_KO_3	(15, 1.0)	(16, 4.0)	(17, 4.0)	(18, 3.0)	(19, 5.0)	(20, 13.0)	(21, 32.0)	(22, 71.0)	(23, 93.0)	(24, 33.0)	(25, 107.0)	(26, 148.0)	(27, 616.0)	(28, 940.0)	(29, 1700.0)	(30, 4694.0)	(31, 4894.0)	(32, 4508.0)	(33, 4837.0)	(34, 5071.0)	(35, 6284.0)	(36, 8624.0)	(37, 11395.0)	(38, 13093.0)	(39, 13886.0)	(40, 13453.0)	(41, 13804.0)	(42, 14846.0)	(43, 21984.0)	(44, 14151.0)	(45, 16333.0)	(46, 27510.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 12361013.0)
Treg_WT_1	(15, 2.0)	(16, 5.0)	(17, 5.0)	(18, 6.0)	(19, 9.0)	(20, 40.0)	(21, 46.0)	(22, 128.0)	(23, 149.0)	(24, 78.0)	(25, 185.0)	(26, 328.0)	(27, 1265.0)	(28, 1968.0)	(29, 3130.0)	(30, 8720.0)	(31, 8659.0)	(32, 7940.0)	(33, 8324.0)	(34, 8697.0)	(35, 10968.0)	(36, 14868.0)	(37, 19613.0)	(38, 22380.0)	(39, 22782.0)	(40, 21813.0)	(41, 21063.0)	(42, 21779.0)	(43, 27425.0)	(44, 21280.0)	(45, 22666.0)	(46, 30606.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 9606890.0)
