UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	17
0	17
1	0
0	0
3	55
9	0
5	4
9	18
1	16
0	16
0	79
0	37
0	34
6	38
0	13
0	9
4	104
13	33
1	70
2	14
0	60
27	53
0	39
20	27
0	70
0	56
1	58
36	255
0	229
3	8
0	7
0	59
0	51
13	42
10	88
0	73
11	47
0	79
0	67
0	51
9	227
0	146
0	2
5	111
0	85
0	64
0	30
30	84
13	63
8	47
0	29
0	35
1	19
0	11
1	21
0	42
0	38
56	201
3	51
1	34
3	44
3	55
0	52
2	35
0	8
0	79
4	68
0	29
0	16
19	20
2	32
1	27
3	25
0	9
20	184
0	173
0	79
5	2
1	37
0	34
4	43
0	16
0	12
9	103
8	38
21	72
6	39
0	34
5	56
0	40
45	27
6	65
0	57
14	58
27	85
1	12
0	11
22	64
42	67
13	75
18	70
4	46
1	138
0	92
1	2
4	99
0	77
2	65
13	86
27	63
14	41
0	29
0	20
3	30
0	58
0	27
25	210
7	35
1	28
5	11
0	11
0	0
0	0
26	0
11	0
0	8
0	8
0	21
0	21
10	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
7	3
0	3
424	0
236	0
440	0
220	0
348	0
43	2
303	12
168	5
412	43
230	38
156	0
279	0
386	0
111	0
306	0
168	0
0	0
18	0
138	0
63	0
13	0
0	322
81	322
9	23
4235	3749
0	3749
0	19
0	11
0	15
20	20
18	0
2724	7921
6670	7921
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
166	0
0	20
3	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
42	22
0	22
480	3782
215	3782
11	0
31	12
0	0
0	22
4	22
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
1	0
0	0
0	0
0	0
0	0
0	0
0	4
0	1
0	1
1	0
0	10
0	0
0	0
1	0
2	10
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	2
0	1
0	1
0	2
0	3
0	3
0	0
2	1
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	1
0	1
0	2
0	1
5	0
0	0
0	0
0	1
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	2
0	2
0	2
0	2
0	0
0	0
0	1
0	0
9	0
0	0
1	0
0	2
2	2
0	5
0	5
0	0
0	1
0	0
0	0
0	0
0	0
0	0
