UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	8
0	8
2	6
0	6
3	36
17	0
0	4
13	22
1	6
0	6
0	96
0	12
0	10
6	46
1	11
0	10
0	118
11	33
2	111
4	15
0	29
15	47
0	32
15	10
5	89
0	65
2	59
40	349
0	307
0	9
0	8
0	73
0	68
10	44
11	102
0	81
7	58
0	105
2	61
0	48
5	285
0	177
3	7
6	89
0	68
0	81
0	53
31	111
10	30
9	44
0	23
0	38
0	24
0	20
2	18
0	58
0	51
33	277
5	63
0	25
2	22
7	46
0	46
1	37
0	9
0	106
3	84
0	23
1	18
6	19
1	20
0	19
3	26
0	14
25	223
0	210
0	96
5	6
0	12
0	10
4	51
2	6
0	5
9	114
6	34
36	115
3	28
0	26
1	26
0	32
20	10
2	74
0	65
11	48
45	112
0	13
0	12
10	83
29	79
14	102
18	93
4	46
2	205
0	132
5	7
5	84
0	65
2	84
27	114
4	30
16	37
0	27
0	18
3	14
0	77
0	39
23	282
7	20
6	25
2	31
0	31
0	2
0	2
10	0
23	0
0	5
0	5
0	13
0	13
4	13
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	3
0	3
11	5
1	5
458	0
263	0
509	0
193	0
358	0
47	8
326	35
176	13
393	63
313	57
138	0
275	0
368	0
92	0
383	0
160	0
0	0
40	0
122	0
82	0
17	0
0	335
87	335
45	22
4007	3807
0	3807
8	21
0	18
0	17
16	23
17	0
3261	8398
7043	8398
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
133	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
37	23
0	23
466	3847
239	3847
16	0
22	6
0	0
0	25
11	25
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	0
0	5
0	5
0	2
0	2
0	0
0	1
0	4
0	4
0	2
0	2
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	6
0	3
0	3
0	6
2	2
0	2
0	0
2	1
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	3
0	3
0	1
0	1
1	0
0	0
1	0
2	1
0	0
1	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
2	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
3	2
0	0
0	0
8	1
0	1
0	1
