UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	6
0	6
2	6
0	6
7	32
11	0
4	3
9	10
1	8
0	8
0	89
0	18
0	15
7	32
1	4
0	4
3	120
8	27
1	62
3	18
0	48
20	46
0	5
4	7
4	78
0	58
1	62
20	204
0	189
0	8
0	5
0	57
0	49
9	40
12	86
0	73
10	48
0	93
0	89
0	65
11	169
0	114
7	5
8	106
0	80
0	63
0	32
44	112
13	51
15	69
0	23
0	39
2	21
0	20
0	26
1	60
0	50
38	174
1	72
0	34
5	33
9	47
0	46
2	52
0	8
0	94
7	68
0	23
0	32
13	11
1	41
3	37
3	28
0	18
10	140
0	135
0	89
5	11
3	19
0	16
5	40
2	5
0	5
3	119
7	27
18	68
0	36
0	34
5	46
0	5
22	7
0	89
0	76
18	60
18	71
0	17
0	15
7	68
35	78
27	86
18	82
12	69
3	115
0	80
0	5
5	107
0	82
3	65
27	114
11	51
9	61
0	22
0	16
5	32
0	73
0	41
12	166
3	19
3	23
4	7
0	7
0	0
0	0
18	2
19	0
0	14
0	14
0	14
0	14
6	14
1	0
0	0
1	0
0	0
0	0
0	1
0	1
0	0
0	0
0	2
0	2
0	1
0	2
428	0
315	0
614	0
148	0
463	0
233	15
414	20
259	19
477	67
310	62
130	0
372	0
420	0
115	0
375	0
172	0
0	0
57	0
165	0
93	0
25	0
0	319
83	319
25	37
4619	4419
0	4419
9	16
0	12
0	12
6	12
40	0
4019	12488
9800	12488
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
3	0
1	0
0	0
21	0
0	0
0	0
0	0
0	0
0	0
178	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	1
0	1
1	0
2	4
1	3
43	46
0	46
1559	9248
319	9248
10	0
9	11
0	0
0	20
2	20
0	3
0	0
0	1
0	0
0	0
0	0
0	0
0	10
0	10
0	0
0	1
0	1
0	2
0	1
0	0
0	2
0	11
0	11
0	2
0	4
0	0
0	0
4	0
0	4
0	0
1	0
0	0
0	0
0	1
0	1
0	0
0	0
0	1
0	1
3	4
0	2
0	2
0	4
1	2
0	2
0	0
1	0
0	0
0	2
0	2
0	0
2	0
0	2
0	2
0	2
0	1
0	1
0	1
0	0
1	0
2	0
1	4
0	0
0	4
1	0
0	4
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
3	0
0	2
0	1
0	1
0	3
0	2
0	4
0	4
0	0
0	4
1	0
0	1
1	6
1	3
0	1
0	3
0	2
0	0
1	4
0	1
0	0
10	6
0	5
0	7
