UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	10
0	10
0	1
0	1
4	33
9	0
4	4
14	19
0	11
0	11
1	71
0	16
0	13
3	42
0	3
0	3
3	84
0	15
1	50
0	9
0	41
14	34
0	9
12	16
5	76
0	55
1	40
24	130
0	122
0	9
0	7
0	36
0	33
13	41
11	84
0	68
13	30
0	80
0	51
0	43
5	113
0	73
5	8
8	97
0	76
0	46
0	28
28	84
10	39
16	33
0	15
0	20
0	16
0	14
0	10
0	38
0	34
23	110
1	53
0	27
1	37
3	33
0	33
2	28
0	8
0	82
3	52
0	15
0	13
11	9
0	22
0	21
0	21
0	16
9	99
0	97
0	71
3	2
2	16
0	13
4	46
1	3
0	3
1	82
2	17
13	50
4	25
0	23
1	39
0	9
23	16
0	72
0	66
19	34
19	46
1	8
0	7
10	50
32	73
32	81
18	72
2	33
1	90
0	61
4	8
1	83
0	64
1	49
15	84
13	39
8	26
0	8
0	6
2	20
0	43
0	28
9	111
3	23
4	12
0	9
0	9
0	3
0	3
10	0
27	0
0	8
0	8
0	6
0	6
3	6
0	0
0	0
0	0
0	0
1	0
0	1
0	1
0	0
0	0
0	1
0	1
0	0
0	1
334	0
212	0
485	0
150	0
415	0
183	18
286	24
258	26
414	50
306	47
84	0
267	0
332	0
102	0
340	0
115	0
5	0
37	0
105	0
77	0
19	0
0	252
88	252
20	36
3752	3614
0	3614
12	18
0	11
0	13
7	13
9	0
3938	10275
8659	10275
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
1	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
185	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	14
1	14
2	13
2	13
46	24
0	24
1152	7342
258	7342
31	0
12	5
0	0
0	16
5	16
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	2
1	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	3
0	0
2	12
0	0
0	0
0	0
4	12
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	5
0	5
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
1	2
0	2
0	3
0	3
0	1
0	1
0	0
2	0
1	0
2	1
0	6
1	1
1	6
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
2	1
0	2
0	2
0	0
0	0
0	2
0	2
0	0
2	0
4	0
0	1
0	1
0	1
0	2
0	0
0	0
0	0
2	0
0	1
0	1
2	0
1	0
0	1
